video_id,url,title,description,channel,upload_date,is_before_controversy,view_count,like_count,comment_count,duration_sec,engagement_rate
lqS8-o9BIe8,https://www.youtube.com/shorts/lqS8-o9BIe8,"임성근 인생, 첫 두쫀쿠",2026 1월 15일 영상 약 475만회 조회수 (두쫀쿠 관련 쇼츠 영상),임성근 임짱TV,2026-01-15,True,4808571,51903,1400,25,1.0794
Bsi0gERoycs,https://www.youtube.com/watch?v=Bsi0gERoycs,당근잡채..이제는 말할 수 있다,2026 1월 15일 영상 약 69만회 조회수,임성근 임짱TV,2026-01-15,True,802139,10016,4400,500,1.2487
sMFjET_qDLc,https://www.youtube.com/watch?v=sMFjET_qDLc,저희 가게 대표 메뉴 짜글이 레시피를 공개합니다!,2025 12월 29일 영상 약 248만회 조회수,임성근 임짱TV,2025-12-29,True,2518827,42455,5700,102,1.6855
U1RO-uEH0j4,https://www.youtube.com/watch?v=U1RO-uEH0j4,삼겹살로 만드는 집밥반찬 장똑똑이입니다,2025 12월 27일 영상 약 172만회 조회수,임성근 임짱TV,2025-12-27,True,1740607,29371,2600,246,1.6874
Zx-XfErKYaI,https://www.youtube.com/watch?v=Zx-XfErKYaI,보리굴비급 고추장 멸치볶음 탄생!??,2022 7월 7일 영상 약 241만회 조회수,임성근 임짱TV,2022-07-07,True,2424166,50412,884,673,2.0796
Eeo4oriCVIw,https://www.youtube.com/watch?v=Eeo4oriCVIw,썰고 넣고 끝!! 초간단 무생채!,2022 7월 4일 영상 약 100만회 조회수,임성근 임짱TV,2022-07-04,True,1040750,22291,1300,603,2.1418
uqaHufiLsZ4,https://www.youtube.com/watch?v=uqaHufiLsZ4,[미공개 클립] 강경 한식 파 임성근 셰프와 4평 외톨이의 파주 청국장 요리 | 흑백요리사 시즌2 | 넷플릭스,넷플릭스 미방영분 영상그러나,Netflix Korea 넷플릭스 코리아,2025-12-27,True,1725553,17377,3300,568,1.007
iFI44wD0HDg,https://www.youtube.com/watch?v=iFI44wD0HDg,[ENG] 팀전부터 1:1 사생전까지 서바이벌 만렙 백수저들과 함께하는 [흑백요리사 시즌2] 리뷰 최초 공개(with. 정호영 샘킴 임성근) I 흑백2⚒️리뷰,안성재 유튜브 게스트,셰프 안성재 Chef Sung Anh,2026-01-03,True,4580474,61835,10000,2487,1.35
Vx5TvugVcTc,https://www.youtube.com/watch?v=Vx5TvugVcTc,"임성근: ""저희 가게 레시피 공개합니다"" (가게 없음) 현재 개떡상 중인 임짱TV 근황 ㅋㅋㅋㅋㅋㅋ 끝나지 않는 흑백요리사2 모음집 레전드 ㅋㅋㅋㅋㅋㅋ",임성근 관련 커뮤니티 댓글 반응 영상,김준표,2026-01-03,True,986704,9530,736,721,0.9658
c9qbJHDtC4A,https://www.youtube.com/watch?v=c9qbJHDtC4A,소스만 뚝딱 만드는 줄 알았더니 요리도 10분컷?! 초간단 고기요리 레시피🍖,임성근 게스트 요리 영상,알토란 - 집밥 레시피,2025-12-26,True,137334,2183,384,2554,1.5896
tfcpXRbe930,https://www.youtube.com/watch?v=tfcpXRbe930,"'10인분 노쇼' 식당에 나타난 임성근…""식은 고기도 괜찮아요"" / 연합뉴스 (Yonhapnews)",1월 5일 미담 뉴스,연합뉴스 Yonhapnews,2026-01-05,True,1142780,12612,2000,442,1.1036
jFEGajuNqnU,https://www.youtube.com/watch?v=jFEGajuNqnU,‘전과 6범’ 고백한 임성근…“가족 향한 비난 멈춰달라” / 채널A / 뉴스TOP 10,23일 뉴스,채널A 뉴스TOP10,2026-01-22,False,11963,119,155,240,0.9947
jbUeEpF0Q7M,https://www.youtube.com/watch?v=jbUeEpF0Q7M,"임성근, 알고 보니 '전과 6범'…""방송활동 중단"" / JTBC 사건반장",22일 사건반장,JTBC News,2026-01-21,False,812612,5303,3800,156,0.6526
QLttpHoRbHs,https://www.youtube.com/watch?v=QLttpHoRbHs,"[시사쇼 정치다] 임성근, 음주운전 횟수 속이고 '폭행' 전과까지?… 결국 음주 고백 영상 '삭제'",22일 뉴스,뉴스TVCHOSUN,2026-01-21,False,37639,236,437,325,0.627
U1O0fQFo8qI,https://www.youtube.com/watch?v=U1O0fQFo8qI,"임성근, 고백조차 거짓말이었다…음주운전 4번에 무면허·구금까지｜지금 이 뉴스",22일 뉴스,JTBC News,2026-01-21,False,428947,1937,3700,104,0.4516
gPA3oT8i6xU,http://youtube.com/watch?v=gPA3oT8i6xU,"임성근, 알고 보니 전과 5범…양심 고백 영상 돌연 삭제 / YTN star",21일 양심 고백 영상 삭제 뉴스,YTN star,2026-01-21,False,28659,290,476,96,1.0119
9Nd2rU3rWE4,https://www.youtube.com/watch?v=9Nd2rU3rWE4,[빠른뉴스 쨉] 임성근 셰프 전과 또 자백! 이번 전과는...?,21일 이슈 유튜브,뉴스TVCHOSUN,2026-01-21,False,8170,27,74,91,0.3305
qARhNVVB2eU,https://www.youtube.com/shorts/qARhNVVB2eU,‘흑백요리사2’ 결국 임성근 고백으로 못본다는 후덕죽,21일 이슈 유튜브 (쇼츠),하꼴만,2026-01-21,False,1740105,8050,1400,27,0.4626
ECLGMV3yo5M,https://www.youtube.com/watch?v=ECLGMV3yo5M,"'흑백요리사' 임성근 ""음주운전 3회로 형사처벌·면허취소"" 고백 [지금이뉴스] / YTN",19일 뉴스, YTN,2026-01-19,False,120572,435,1000,94,0.3608
wmOLxObKxbE,https://www.youtube.com/watch?v=wmOLxObKxbE,"[뉴스 '꾹'] ""실수로 음주운전 3번""..임성근 깜짝 사과 '시끌' (2026.01.19/MBC뉴스)",19일 뉴스,MBCNEWS,2026-01-19,False,72521,724,1100,141,0.9983
