date,keyword,total_count
2018-08-01,마라탕,93
2018-08-02,마라탕,84
2018-08-03,마라탕,95
2018-08-04,마라탕,88
2018-08-05,마라탕,74
2018-08-06,마라탕,93
2018-08-07,마라탕,100
2018-08-08,마라탕,98
2018-08-09,마라탕,97
2018-08-10,마라탕,114
2018-08-11,마라탕,86
2018-08-12,마라탕,85
2018-08-13,마라탕,172
2018-08-14,마라탕,124
2018-08-15,마라탕,98
2018-08-16,마라탕,106
2018-08-17,마라탕,89
2018-08-18,마라탕,75
2018-08-19,마라탕,81
2018-08-20,마라탕,99
2018-08-21,마라탕,110
2018-08-22,마라탕,101
2018-08-23,마라탕,106
2018-08-24,마라탕,88
2018-08-25,마라탕,78
2018-08-26,마라탕,83
2018-08-27,마라탕,98
2018-08-28,마라탕,117
2018-08-29,마라탕,106
2018-08-30,마라탕,99
2018-08-31,마라탕,124
2018-09-01,마라탕,84
2018-09-02,마라탕,84
2018-09-03,마라탕,118
2018-09-04,마라탕,147
2018-09-05,마라탕,147
2018-09-06,마라탕,104
2018-09-07,마라탕,120
2018-09-08,마라탕,80
2018-09-09,마라탕,108
2018-09-10,마라탕,123
2018-09-11,마라탕,116
2018-09-12,마라탕,127
2018-09-13,마라탕,109
2018-09-14,마라탕,100
2018-09-15,마라탕,102
2018-09-16,마라탕,108
2018-09-17,마라탕,125
2018-09-18,마라탕,118
2018-09-19,마라탕,126
2018-09-20,마라탕,109
2018-09-21,마라탕,110
2018-09-22,마라탕,112
2018-09-23,마라탕,86
2018-09-24,마라탕,78
2018-09-25,마라탕,84
2018-09-26,마라탕,101
2018-09-27,마라탕,125
2018-09-28,마라탕,105
2018-09-29,마라탕,108
2018-09-30,마라탕,104
2018-10-01,마라탕,129
2018-10-02,마라탕,108
2018-10-03,마라탕,115
2018-10-04,마라탕,99
2018-10-05,마라탕,116
2018-10-06,마라탕,108
2018-10-07,마라탕,105
2018-10-08,마라탕,123
2018-10-09,마라탕,124
2018-10-10,마라탕,137
2018-10-11,마라탕,125
2018-10-12,마라탕,120
2018-10-13,마라탕,101
2018-10-14,마라탕,99
2018-10-15,마라탕,129
2018-10-16,마라탕,119
2018-10-17,마라탕,104
2018-10-18,마라탕,111
2018-10-19,마라탕,137
2018-10-20,마라탕,108
2018-10-21,마라탕,117
2018-10-22,마라탕,126
2018-10-23,마라탕,137
2018-10-24,마라탕,193
2018-10-25,마라탕,130
2018-10-26,마라탕,133
2018-10-27,마라탕,102
2018-10-28,마라탕,116
2018-10-29,마라탕,145
2018-10-30,마라탕,136
2018-10-31,마라탕,133
2018-11-01,마라탕,124
2018-11-02,마라탕,136
2018-11-03,마라탕,113
2018-11-04,마라탕,125
2018-11-05,마라탕,173
2018-11-06,마라탕,162
2018-11-07,마라탕,133
2018-11-08,마라탕,145
2018-11-09,마라탕,147
2018-11-10,마라탕,93
2018-11-11,마라탕,124
2018-11-12,마라탕,164
2018-11-13,마라탕,115
2018-11-14,마라탕,150
2018-11-15,마라탕,135
2018-11-16,마라탕,126
2018-11-17,마라탕,110
2018-11-18,마라탕,129
2018-11-19,마라탕,136
2018-11-20,마라탕,155
2018-11-21,마라탕,137
2018-11-22,마라탕,165
2018-11-23,마라탕,159
2018-11-24,마라탕,87
2018-11-25,마라탕,124
2018-11-26,마라탕,144
2018-11-27,마라탕,170
2018-11-28,마라탕,142
2018-11-29,마라탕,137
2018-11-30,마라탕,134
2018-12-01,마라탕,138
2018-12-02,마라탕,141
2018-12-03,마라탕,170
2018-12-04,마라탕,163
2018-12-05,마라탕,147
2018-12-06,마라탕,139
2018-12-07,마라탕,111
2018-12-08,마라탕,109
2018-12-09,마라탕,126
2018-12-10,마라탕,120
2018-12-11,마라탕,126
2018-12-12,마라탕,169
2018-12-13,마라탕,132
2018-12-14,마라탕,129
2018-12-15,마라탕,120
2018-12-16,마라탕,128
2018-12-17,마라탕,119
2018-12-18,마라탕,130
2018-12-19,마라탕,126
2018-12-20,마라탕,137
2018-12-21,마라탕,187
