video_id,title,published_at,channel_title,view_count
tQqgk49Z8ZU,암술은 미러볼이 몇개야ㄷㄷ [마비노기 모바일]  #shorts #마비노기모바일 #게임,2026-01-06,센터로드TV,3247
OSxzPx_Tr8M,슌장기에프(韩国苏联 Shun Zangief) - 20260105 - 고전게임 Street Fighter 2 스파2대시(SF2CE 街覇2) QQARC 奇趣电玩 실시간 스트림,2026-01-05,슌장기에프-장기에프TV,8946
9Oil_A-GFZ8,영원히 못 들어오는 주민,2026-01-05,최구리,14657
2XUNJEzSg0U,These 5 game franchises are turning 40 in 2026! #metroid #gaming,2026-01-05,The Gaming Résumé,956
ce2HTLWaObg,이렇게 잘 숨는 괴물은 살면서 처음 봅니다 (공포게임/Skull Hotel),2026-01-05,수탉,103537
WuKATcMBmsU,T1 페이커를 슈퍼토스 하려다가 게임 포기한 중국 프로ㅋㅋ 페피셜 레전드 브론즈 배틀 장면까지!,2026-01-05,롤모델,6883
rJhHGEwFbbM,빨간옷의 웃는 여자에게 쫓기는 공포게임 (赤色の怪異 Akairo No Kaii),2026-01-05,공포면역 케이사구,2913
L0iknTkQhNY,피파4 게임이 완전히 바뀐다 ㅋㅋㅋ,2026-01-05,나현우,65390
X43aJfOg3mo,[#습집🗂] 말띠 연예인 수영과 함께하는 박자 게임?! 갑작스러운 사생대회부터 깡깡이들의 아찔한 드라이브 까지ㅋㅋㅋ | 런닝맨 | SBS,2026-01-05,SBS ,20101
Sdt6d8Uki1A,상했잖아. #미유 #치지직 #버튜버 #버츄얼 #vtuber #게임 #멋사공책rpg #마인크래프트 #minecraft,2026-01-05,찌롱이쉼터,1055
GQR0HBwyRBs,[LOL] 칼바람 아수라장 프레이 우르곳 : 혼자 슈팅게임하는 탭 댄서 우르곳,2026-01-05,프레이 TV,41452
5swTlVPXJ_k,레슬링기술 리듬게임 챌린지! (ft.예니) #리듬게임,2026-01-05,급식왕,35059
MTlCQuukwTs,거인 스폰위치가...  #게임  #공략  #리썰컴퍼니,2026-01-05,앗스타,2092
1gB4KMt16AU,브레이크 없는 픽시 자전거 게임... #로블록스게임 #roblox #온라인게임 #로블록스 #게임 #로블,2026-01-05,유튜브맘마,2441
u7TACFnWsgQ,로블록스 추천게임4개🤗,2026-01-05,체리샤벳,2697
fGEq5zrR5HE,일본 오사카의 리듬게임 성지 오락실 THE INDOOR GAME에 다녀왔습니다! | 리듬게임 오락실 탐방 EP.05,2026-01-04,김편집,10798
Ylh7HtePHX0,보고 있으면 마음이 편해지는 게임,2026-01-04,겟린이,9060
0Pzh4GquJsk,이번 겨울세일 놓치기 아깝다! 턴제 RPG 모음 !! 스팀 게임 할인 추천 30가지 !! [ Steam 스팀 게임 추천 ],2026-01-04,이구역의 듀공,6089
ndP4IwI-QwI,[260104] 지렁이게임 ㅎㅎㅎ,2026-01-04,멘파,42151
Y8eUm52NVYY,진정한 사운드 플레이 ㅋㅋ #배틀그라운드 #배그 #pubg #게임 #gaming,2026-01-04,모지리19,2894
kn3HjyQZBgw,한 게임을 10년 이상 켜두고 방치한 유저,2026-01-04,이슈해적단,55056
uLqfDT5v2ig,GAME5 : 1월 주목해야 할 신작 게임 5개 : &#39;1월인데 할게 있어?&#39;  #신작게임소개 #2026,2026-01-04,Dmonk,7501
novFJcQd9pk,4시간 지각?? 공포게임형에 처합니다🔥,2026-01-04,와팬 Wapan,7335
scSZ5WN3UZU,박진감 100% 프레디 공포게임,2026-01-04,깅슈,6134
N2UNv-oFgE4,ANGRY HULK SMASH ARMY TANK level - 04 #gameplay #hulk #게임,2026-01-04,Alpha arrow gamer,134744
_oTqu33RpXg,플스5 게임 추천! 플스 연말 세일! 놓치면 다시 정가! 1월 1주차! 최대 85%! (2026.01.04),2026-01-04,껨40th,2863
TcuMDb2eioo,국산 게임 시대가 열린다! 출시 예정 국산 게임 총정리,2026-01-04,휘바TV,42771
ssqYqafXohw,중요한 순간에 게임을 터뜨린 디도스핵ㄷㄷ (feat. 두쫀쿠 먹방),2026-01-04,류제홍 RYUJEHONG,28445
t-6qPOjsh44,양띵크루의 추리형 협동 보드게임,2026-01-04,양띵 유튜브,54511
3mzIOmoJits,[스타] 스타 고인물의 리듬 게임3 어려움 주의(Hard) #리듬게임,2026-01-04,스타경제학 일꾼,2213
nErhpYEvsj4,오퍼 한자루로 게임을 쓸어버리는 영상,2026-01-04,김된모,88065
OsnohrCEMFc,이 게임 낭만은 이제 없다고 하네요..,2026-01-04,카림,3043
QmDXANNOIAU,꼰대와 잼민이의 포켓몬 단어 리듬 게임 - [전자오랏맨],2026-01-04,꼰&잼,316528
jx9POiHWD2g,듀블은 쓰레기다 [마비노기 모바일]  #shorts #마비노기모바일 #게임,2026-01-04,센터로드TV,28449
tojYshTda8k,시청자 고민상담 해드립니다 [마비노기 모바일]  #shorts #마비노기모바일 #게임,2026-01-04,센터로드TV,20011
7mPb2mTbEoQ,[제목 없는 RPG 게임] 시청자에게 100품 프론을 선물해봤습니다 ㅋㅋㅋㅋ,2026-01-04,씨뜨루,6729
AQ0DacSX2AU,로사님 근첩처럼 게임 해주세요,2026-01-04,압둘알리과로사,143740
0tncQfxYEPY,사람을 미치게 만드는 위험한 게임 #게임 #shorts #이터널리턴  #eternalreturn,2026-01-04,쯔류,2100
54SkzSq2pmw,깅뮤 2배 이벤트 #미유 #치지직 #버튜버 #버츄얼 #vtuber #게임 #멋사공책rpg #마인크래프트 #minecraft,2026-01-04,찌롱이쉼터,741
sSSFERZmJrc,오타쿠 스님 #미유 #치지직 #버튜버 #버츄얼 #vtuber #게임 #멋사공책rpg #마인크래프트 #minecraft,2026-01-04,찌롱이쉼터,1305
mFWmhXCqODE,흑화육수 #미유 #치지직 #버튜버 #버츄얼 #vtuber #게임 #멋사공책rpg #마인크래프트 #minecraft,2026-01-04,찌롱이쉼터,1452
ZB2dE2jJCWE,경륜대회가 구현된 픽도게임ㅋㅋ  #로블록스게임 #roblox #온라인게임 #로블록스 #로블  #게임,2026-01-04,유튜브맘마,1068
7Rp8OokanUQ,24시간 감시하는 사장님을 버텨야 하는 리얼 공포 게임 [파놉티콘],2026-01-04,풍월량,36449
vLJXsro8h_0,라이벌 꿀잼 무기 #로블록스 #게임 #roblox #모바일게임,2026-01-04,실버,5141
typmZo5I9HE,포트리스 밸리 우측 74도 자리 순풍 풀바람  일때 #게임 #포트리스2 #슈탱크,2026-01-04,=폭격기=,1940
odn4A0RfOuA,"급식왕 랜덤 뿅망치 게임ㅋㅋㅋ(ft.보이,바우,가이)",2026-01-04,급식왕,112470
Ffbqz-MrVR0,아빠의 굴욕..이게 왜 안 들어가?! 사람 미치게 만드는 박스 게임 LimeTube,2026-01-04,Lime Tube[라임튜브],20976
PcVnSsut42M,주술회전 만약 스쿠나가 주술회전 게임을 한다면?,2026-01-04,탈곰,56180
hb2wyzaHJe0,브레인 롯 훔치기 저주 업데이트 나눔합니다..?? #로블록스 #roblox #게임 #로블 #brainrot #브레인롯 #브레인롯훔치기로블록스,2026-01-03,인디언밥,5250
