video_id,title,published_at,channel_title,view_count
8zi2lh270OU,2026년 1월 6일 #임영웅  #그대그리고나   #아침산책tv #트로트 #music #빈예서 #전유진 #송가인 #양지은 #임영웅 #박창근 #노래,2026-01-06,아침산책TV,542
QnIpfWRWOqE,피아노치며노래라이브아마추어가수낭만다방음악실작전역8번출구도보1분피아노라이브방송실새론음악스튜디오6~10,2026-01-06,취미존중만족피아노치며노래라이브무명가수새론,928
2JPazLMi8iQ,Ave Maria 🙏 #prayer #catholic #faith #음악 #노래 #감성,2026-01-06,시몬과데레사,1150
ah1CFRJeP9k,빈예서(초5 11세) 전국노래자랑 2022연말결선 대상 수상후 KBS진주방송국 정주라 인터뷰,2026-01-06,아름다운 자연 (산 바다),6790
rrBdzIuKJ3U,졸업하는 친구들에게 들려주면 좋은 노래 (w 네즈),2026-01-05,왕클세종,23246
FXVwflGMGQk,노래도 바이럴되는 그녀,2026-01-05,아하영어 AhaEn,2953
cC5Rampgr5w,"장윤정 콘서트 신곡 2026  광고없이 듣는 장윤정 노래모음 BEST 15곡 Play list 미운사랑,꽃,좋은 당신,송인, 어머나,수은등,목포행 완행열차, 잡초",2026-01-05,장윤정 노래모음,368
3Xy3AvAkcts,노래의성지 강문경 오늘KBS가요무대녹화방송 강추위를녹인 패션의완성 목도리!!,2026-01-05,노래의성지,3219
nLvV2jR0O3I,귀호강전화노래방벙개 노래하러오셔요~! 김소연힐링음악여행 1월5일,2026-01-05,김소연힐링음악여행,19515
tVOiB9_ebts,유일하게 남탓하는 노래 : 데미지 #shorts,2026-01-05,훈살구,27755
stFPTwDwHsA,흑백요리사2 안성재 유행어 &#39;오버띵킹&#39; 뜻은? 영어 노래로 가보자고~ #아란뮤직,2026-01-05,Aran TV,36564
hf0pFDwMxpM,"🌟 &quot;뽕나무의 땅, 시원의 역사&quot; #cover #playlist #music #노래 #song",2026-01-05,강성주의 우리 역사 플레이리스트 ,686
uJ9EtwTUVjg,귀여워서 미안해!  #버튜버 #vtuber #치지직  #노래 #음악,2026-01-05,호시노 유키,2261
AhbNsbgVtfQ,ABCD노래 불러볼게~ #알파벳 #영어 #노래 #33개월아기,2026-01-05,루아티비 LUATV,1840
t-hQjEIKh3I,포세이큰 뉴비가 뽑은 좋은 노래 TOP 4,2026-01-05,강야,2622
