video_id,title,published_at,channel_title,view_count
FHxjS0AqmiE,#두쫀쿠#🧆,2026-01-13,말랑데이,322
Mtoy7sZKnkE,소면 넣은 &#39;두쫀쿠&#39; 구매 후기 논란‥주재료 수급난에 &#39;소면 두쫀쿠&#39; 등장 #Shorts (MBC뉴스),2026-01-13,MBCNEWS,13582
9BOYa_jZr_E,6억 두쫀쿠 못먹어서 만든 아쫀쿠..#유행,2026-01-13,젤리키키,862
7OPgoWxW4dw,두쫀쿠 먹빵 #이쯔야ㅈㅉ존맛임 #다이어트반포기 #^^ #하하  #미쳤다 #두쫀쿠 #아이돌 #포카챠 #포카포장 #관리자님잘생겼어요 #올데프 #kpop,2026-01-13,𝑺𝒆𝒂𝒔𝒐𝒏 이라,567
lTVrUScJkDM,"🔴LIVE &#39;두쫀쿠 유행&#39; 여전...추워도 출서고, 직접 만들기까지 l 26.01.12 l 뉴스아이",2026-01-12,KNN NEWS,1579
SFNnktDOFnc,오픈런 안 해도 두쫀쿠 사는 꿀팁!,2026-01-12,리빙후요쓴,1959
m_Qu-0VjgZQ,두쫀쿠 대신 먹는 이거 #두바이쫀득쿠키 #두바이,2026-01-12,Zzzanii,991
-u-wIWcdzGE,두쫀쿠 못 구해서 두바이 드링크라도… #뉴욕맛집 #foodie #미국생활,2026-01-12,잔잔한먹보,1334
9i0NNIStPHA,두쫀쿠 안먹어 본 사람...?! #두쫀쿠,2026-01-12,유리한오늘 yulri,1469
Hk-F-SU-9Uc,자고로 두쫀쿠는 입에 묻히고 먹어야 제맛이지! 쁜라인 두쫀쿠 먹방! #plave #노아 #밤비 #버추얼아이돌 #shorts,2026-01-12,뽕쥬르,1916
nuAipZSE_-U,🧆두쫀쿠 원가 1500원? #웹소설작가브이로그 #두쫀쿠만들기 #두바이쫀득쿠키,2026-01-12,와와글,5186
DAI5p1-tY2w,"‘두쫀쿠’ 열풍에 끼워팔기??🍮🤔…국밥 주문 시🍲 주문 가능, 왜 👀 [직썰]",2026-01-12,채널A News,955
M-TmNbkUJyM,#두쫀쿠 🧆 파는 훈남 사장님들이 운영하는 카페 대공개! @두쫀쿠 좋아하는 친구 태그 @친구야 훈남 사장님들 보러가자 #아홉커피 #AHOF #아홉,2026-01-12,AHOF,14629
rkLVjuyHnKI,"&#39;두쫀쿠 유행&#39; 여전...추워도 출서고, 직접 만들기까지 / KNN",2026-01-12,KNN NEWS,3041
yf7o-BTRjZY,두쫀쿠 처음 먹어봤는데...,2026-01-12,176cm앙파카,3469
thTCNN3Le_g,두쫀쿠로 안성재 셰프님 이기기,2026-01-12,마이데이지_mydais2y,2682
wxCATOSG8zc,두쫀쿠의 원조! 이보다 쫀득할 수 없는 100% 동네 어르신들로만 가득찬 진짜 맛집,2026-01-12,김사원세끼,37038
phxW_8Rl7nY,한 입 크기가 1만원? 비싸도 먹게 되는 ‘두쫀쿠’… 이젠 디저트플레이션 시대 #두쫀쿠 #두바이쫀득쿠키 #두쫀쿠가격,2026-01-12,SBS Biz 뉴스,3724
xqZc8e2hl8U,[#프리한19] 맛없없 두쫀쿠 피스타치오 스프레드🧆 진짜를 맛 보고 싶다면 ‘여기’로 떠나세요✈️,2026-01-12,디글 :Diggle,1720
Hvyhtl0Ts14,두쫀쿠 첨 드신 할부지 반응ㅋㅋㅋㅋ,2026-01-12,이라이라경 ravely,5086
BSlw7fL02CQ,드디어 일본에도 진출한 두쫀쿠,2026-01-12,아누누,46449
w0646O16ND8,"자폐아이 겨울 평창 여행, 두쫀쿠ASMR,집에서 몸놀이",2026-01-12,지니스펙트럼,9452
zZcUOMOMBPE,두쫀쿠🧆비즈키링 만들기!#비즈키링#비즈계#두쫀쿠#비즈#비즈키링만들기#diy,2026-01-12,세콤쓰,10748
Ksl_kXD7IeE,두쫀쿠 영접한 미국인 친구 리얼 반응ㅋㅋㅋ,2026-01-12,쉐리 SHERRY,16600
oY4Dw2Y5PJY,두쫀쿠로 다이어트 합니다,2026-01-12,고말숙GoMaLSooK,6152
K_3K9smjS-8,&#39;한입 1만원&#39; 두쫀쿠…디저트플레이션 부담되네 [NEWS 18],2026-01-12,SBS Biz 뉴스,267
HUbc_cznO4s,두쫀쿠 구하러 제주도 갔다가 아빠 얼굴 공개해버린 vlog,2026-01-12,정선호(Seonho Jung),18203
ppZaVjxKdVY,신생아는 두쫀쿠 몇개 크기 일까?,2026-01-12,아루아,13418
1a9R_jGdpL8,미니 두쫀쿠,2026-01-12,곤듀,9545
XQXgVaxQ6M0,두쫀쿠 vs 댕쫀쿠,2026-01-12,지유개 zziU & Ezzi,536261
4m_RQHXLpFE,여기저기 &#39;두쫀쿠&#39; 보도…고점 신호일까 아닐까 (ft. 김바비 작가) / 비디오머그 / 이슈빡,2026-01-12,비디오머그 - VIDEOMUG,7351
Iu8ffABTuiA,♥ 품절대란 두바이쫀득쿠키 만들기 |  두쫀쿠 막차탑승..🫶🏻 초간단 두쫀쿠 한번에 성공하는 레시피 | 실패없는 두쫀쿠 | 두바이쫀득쿠키의 모든 것 *✲ﾟ*｡⋆ ,2026-01-12,쭈닝,103
KuE3E1dnoFc,두쫀쿠보다 달달한(?) 연애고민상담쇼,2026-01-12,풍자테레비,111966
uvh0wSbjExI,두쫀쿠 유행이 긍정적인 이유,2026-01-12,멋사유튜브,57051
TScUgKgzYy4,🧆두쫀쿠 보다 큰 성진 마음 = 귀하다,2026-01-12,박성찐이야,31300
IWp8MnKwCos,두쫀쿠 대란 (The Dubai Chewy Cookie Frenzy),2026-01-12,조충현,50733
texfyUZ0k04,남사친이 두쫀쿠를 사다준다고?,2026-01-12,김켄지,26605
HE4rvC3suhU,"두쫀쿠 먹고싶어, 사줘🥺🙏",2026-01-12,イェリン어징🔥,15316
Dm8THQ7RkoM,동생이 두쫀쿠 뺐어가면😭,2026-01-12,오마이비키,55039
p5_cXRaGbAg,두쫀쿠 유행을 따라가는 마뱀이🤎#도마뱀 #애완동물 #파충류 #animal #lizard  #gecko #크레스티드게코 #반려동물 #두쫀쿠,2026-01-12,별빛게코(크레스티드게코 도마뱀집사),797
QoNkChQWYDg,韓国で今話題の #두쫀쿠 食べてみました！😆,2026-01-12,かん兄ブラザーズ🌶️,1754
BCp_E8aqMdE,두쫀쿠 vs 찹쌀떡 ㅋㅋ 진짜 두쫀쿠를 찾아라!!! ㅋㅋㅋ,2026-01-12,뚜아뚜지TV,490872
aefTJY4zJck,두바이 쫀득 쿠키(두쫀쿠) 뇌절 신제품들🍪.jpg,2026-01-12,똘킹,406960
YyKhvX2GNZE,맛없으면 싸대기 때린다는 두쫀쿠 맛보는 미군들 ㅋㅋㅋ,2026-01-12,ARMY AHN 아미안,196642
xKizmcnOVCo,#두쫀쿠 #두쫀쿠만들기 #미국일상 #미국vlog,2026-01-12,지니야 Jiniya,417
tdmiyEne8io,붕어빵 한 마리에 7500원?…&#39;두쫀쿠&#39; 이어 &#39;두바이 붕어빵&#39; 등장 #JTBC #Shorts,2026-01-12,JTBC News,16441
1ss9TcUXYbU,"두쫀쿠 너무 영롱해요~ 오픈런했는데 2시간이나 대기했어요 (feat, 아롬베이크)  #두쫀쿠 #두바이쫀득쿠키 #shorts",2026-01-12,TwinRoozi 쌍둥이 루지,7223
0j3hrogiyG0,카다이프 없이 소면만 가득 두쫀쿠 재료 바꿔치기 논란 / KNN,2026-01-12,KNN NEWS,2668
odbrdeGwl88,카다이프 없이 소면만 가득 두쫀쿠 재료 바꿔치기 논란 / KNN,2026-01-12,KNN NEWS,5590
M77mcPLeoOw,두쫀쿠가 그렇게 맛있어?,2026-01-12,쉬케치,84688
bXIK_BGbdXE,요즘 난리난 두바이 쫀득 쿠키(두쫀쿠) 인기 영상 TOP7은 뭘까?,2026-01-12,틱톡맨,4522
zJbLLk8oqJw,제니 무대보고 두쫀쿠마냥 쫀득하게 리액션 해주는 스키즈,2026-01-12,스키즈그램,94214
pTqwITOVTmM,‘두쫀쿠 (두바이쫀득쿠키)’ 빠진 대한민국? / 채널A / 뉴스A 라이브,2026-01-12,채널A News,2969
JiO41hXdp8U,부산에도 있다 두바이김밥!! 찐후기 #부산맛집 #부산두쫀쿠 #두바이,2026-01-12,율링,1188
uKuENqQLoiE,순대국밥 주문 시 &#39;두쫀쿠 1개&#39; &quot;이렇게까지 해야 하나&quot; 황당/ KNN,2026-01-12,KNN NEWS,16207
7w4lKtlunD4,[만평] 피스타치오 가격 2배 급등? &#39;두쫀쿠&#39; 유행 언제까지...? #두쫀쿠 #두바이쫀득쿠키 #피스타치오 #카다이프,2026-01-12,WIKITREE 위키트리,2209
iLLysOqtolY,&#39;두쫀쿠&#39; 임윤아도 만들었다!! 역시 ‘폭군의 셰프’ 숙수다운 실력🤩 #newsen #shorts #newsenplus #윤아 #임윤아 #소녀시대 #두쫀쿠 #두바이쫀득쿠키,2026-01-12,Newsen Plus (뉴스엔플러스) : 뉴스엔 ,2020
lumEX6t6aVo,치솟는 두쫀쿠 원가에도 가격 안 올린 곳,2026-01-12,매일맛있는거올라온다,20178
eTQiAPEnriQ,두쫀쿠보다 쫀득한 아트록스,2026-01-12,바테,205039
69nMdOkhK84,&quot;가격 두 배가 됐다&quot;...&#39;두쫀쿠&#39; 대란 엄청난 파급 [지금이뉴스]  / YTN,2026-01-12, YTN,4139
L89jPjWisfw,나만 못 먹은 것 같은 두쫀쿠 성심당 말차시루,2026-01-12,ㅇㅋ네,2825
lzGiH1uP0t0,&#39;두쫀쿠&#39; 인기에…피스타치오 가격 두배로 올라 / 연합뉴스TV (YonhapnewsTV),2026-01-12,연합뉴스TV,394
fiKT6OWXxPA,‘두쫀쿠’ 받은 손흥민 반응,2026-01-12,스탐,363644
ZVorXCr6gxA,미끼 상품 된 &#39;두쫀쿠&#39; #shorts / YTN,2026-01-12, YTN,3592
jcZWTL_6YI8,[돌직구 강력반]대한민국 휩쓴 ‘두쫀쿠’…‘갑질’ 논란까지? / 채널A / 김진의 돌직구쇼,2026-01-12,채널A 김진의 돌직구쇼,1432
sG5e_r2Q7TI,만드는데 2년 걸리는 미국에서 만드는 두쫀쿠😂 #미국주부 #미국생활 #미국일상 #미국브이로그 #두쫀쿠,2026-01-12,미국사는정아씨,21752
DzYzaMlEwJM,두쫀쿠 5종 비교~~~~ !!! 🧆 #두쫀쿠 #두바이쫀득쿠키 #먹스타그램,2026-01-12,세인SEINLOG,90684
349_thnGmSA,"[시선집중] 명품부터 &#39;두쫀쿠&#39;까지 2030 줄서기 대행 유행...시간을 파는 알바? - 유승민 작가[6분집중], MBC 260112 방송",2026-01-11,MBC 라디오 시사,1833
SPzYXCF8DqI,썰예연#추천#두쫀쿠,2026-01-11,썰예연,980
TD3onlUlsMk,두쫀쿠 만들다가 생긴 일☄️ #만들기 #diy #쉽게만들기,2026-01-11,나뇨 DIY,25121
LYxHHbPKIAA,야미스쿼트 야미두쫀쿠 | 약도 없는 임산부 감기 | 임신19~20주차 ,2026-01-11,헬씨수영 healthy_swim,690
69jnWxa8MKw,"[Live] 손흥민 피셜 &quot;두쫀쿠 비싸다&quot;… LAFC 복귀, 첫 경기 일정 / 현 토트넘 라커룸, SON 그리워 함",2026-01-11,축구는 정석이,8053
zvOEvC2TVRQ,되는대로 사는 공주의 하루 Day 95 | 눈 오는 날 두쫀쿠 원정 다녀온 하루 🚗❄️,2026-01-11,공주의하루,1851
rcDfdIi0lKg,대구 서문시장 두바이쫀득꼬마김밥 &amp; 두쫀쿠 딸기 까지 #대구맛집 #대구카페,2026-01-11,효제로,19816
FyL4vYZe4Jk,두쫀쿠 권력 먹방ASMR 🧆🧆🧆🧆🧆,2026-01-11,루시 잇힝_eatingASMR,24724
TQ5mBfkCB-I,애스턴마틴 타고 두쫀쿠 먹으러가는 브이로그,2026-01-11,남자들의 자동차 - 남차카페,11204
