video_id,title,published_at,channel_title,view_count
VPF84fmkvLg,"스타 셰프 임성근, 알고보니 전과 6범;;",2026-01-21,빠른연예쇼츠,243
26vsPuNS81o,음주운전만이 아니었다…임성근 &quot;방송 중단&quot;   / 연합뉴스TV (YonhapnewsTV),2026-01-21,연합뉴스TV,160
0wtlT0jk-GM,팩폭 제조기 곽정은이 임성근 음주운전 고백에 던진 뜻밖의 분석이,2026-01-21,스타비하인드,1362
SguxDQf9gBQ,"&#39;흑백요리사2&#39; 제작진, 임성근 음주운전 알고 있었다…&quot;1건만 확인&quot; [투데이 &#39;픽&#39;/iMBC연예뉴스]",2026-01-21,iMBC연예,510
N9b0pHGOJ3o,임성근의 &#39;선수치기&#39; 고백과 허재의 은근슬쩍 복귀... 김영옥 손자 사고를 알고도 웃음이 나옵니까?,2026-01-21,정석희 테레비평,524
P8qI_WcIzJs,"고백과 기록의 불일치, 전과 5범 스타셰프 임성근에게 분노하는 이유",2026-01-21,강일홍의 클로즈업 ,754
Mkwa4KtaWDQ,임성근 폭행 추가 전과 6범,2026-01-21,여러분의 생각은?,1436
wv5EZDv5i-s,논란의 &#39;임성근&#39; 셰프 사주 속 놀라운 비밀 #shorts,2026-01-21,대호신당,1055
gcp79BqMm5g,"임성근 셰프, 음주운전 ‘4범’이었다… 99년 무면허·만취·구금 전과 추가 확인#이재명대통령 #신년기자회견 #영빈관 #이혜훈 #기획예산처 #장관후보자[DVRL TIMES]",2026-01-21,더브렐타임즈,655
8Q6Vn7JMmqU,임성근 음주 고백했지만 결국 방송 중단 선언한 이유,2026-01-21,썰빵,1007
10SYJF1A3wU,임성근 쉐프님의 냉라면,2026-01-21,요리하는 과장 요과장,2598
GIR1iv5HYVc,테토남다운 임성근의 기상천외한 식재료 ㄷㄷ #임성근 #흑백요리사 #임짱 #넷플릭스 #netflix #테토남 #테토 #식재료 #오만소스좌 #아재맹수 #아기맹수 #칼질 #칼의전쟁 #닭,2026-01-21,헬로라이프,1297
rd3JGSTBXow,"임성근 셰프, 전과 고백 후 결국 방송 중단 #shorts #뉴스 #소식 #이슈 #뉴스n",2026-01-21,이시각 소식,1141
mbgmccqwTN4,임성근 음주운전 쉴드치는 여시들 난리났습니다ㅋㅋ,2026-01-21,김지원의 지식 수색반,849
XD30tEw5WMQ,임성근셰프 실체 터졌다! 음주운전 3번도 거짓 충격,2026-01-21,연예부한기자,617
9vlwid9NgRc,임성근이 갖고 온 닭 고환 냄새 맡은 이찬원 찐반응 #임성근 #이찬원 #흑백요리사 #임짱 #넷플릭스 #netflix #닭 #닭요리 #닭고환 #아재맹수 #아기맹수 #칼질 #칼의전쟁,2026-01-21,헬로라이프,2257
k2UsycimDH4,임성근 음주운전 거짓말! 시동만켜도 음주운전일까?,2026-01-21,조기현변호사 법무법인대한중앙TV,17
qsXa_RkiZQ8,"음주운전, 3회 아닌 5회 … 임성근 셰프,자진 고백 영상 삭제",2026-01-21,이슈잉,949
EPj2bB2yC1o,[빠른뉴스 쨉] 임성근 셰프 전과 또 자백! 이번 전과는...? #shorts,2026-01-21,빠른뉴스 쨉,737
KIkwbNniyLc,"&#39;흑백요리사2&#39; 임성근 논란…넷플릭스 &quot;일반인 리스크 대응, 한계 있다&quot; [투데이 &#39;픽&#39;/iMBC연예뉴스]",2026-01-21,iMBC연예,578
9Nd2rU3rWE4,[빠른뉴스 쨉] 임성근 셰프 전과 또 자백! 이번 전과는...?,2026-01-21,뉴스TVCHOSUN,560
RwtJTkcPthI,"임성근 음주운전 3회 논란, 알고 보니 전과 5범? #흑백요리사2 #형사전문변호사 #shorts",2026-01-21,로엘법무법인,791
mnh0TqwSAFU,"임성근, 폭행 전과까지 있었다…결국 &quot;방송 활동 중단&quot; [투데이 &#39;픽&#39;/iMBC연예뉴스]",2026-01-21,iMBC연예,8668
jdFjDGDg_PQ,"[단독] 임성근, 음주운전 3번 아닌 4번",2026-01-21,동아일보,1311
ozDgT65Okko,임성근 &#39;추풍낙엽&#39; 공인 향한 신뢰 철회 [강일홍의 오늘연예],2026-01-21,더팩트,1790
eo0gGTTVhOQ,"“3번인 줄 알았지?” 흑백요리사 임성근, ‘전과 5범’｜ TJB 대전·세종·충남뉴스",2026-01-21,TJB NEWS,1195
wnQkRmHz3_Y,&quot;37일 구금..&quot; 임성근 새로 뜬 뉴스 중 가장 충격적인 부분이 #뉴스다 / JTBC News,2026-01-21,JTBC News,70448
hrRre73GEJQ,방송가 홈쇼핑 줄줄이 손절중인 흑백2 임성근,2026-01-21,이슈TV,1499
dPBY_JkCgkk,임짱 임성근 셰프 회오리 칼질 기술 ㄷㄷ #임성근 #흑백요리사 #임짱 #넷플릭스 #netflix #아재맹수 #아기맹수 #칼질 #칼의전쟁 #임성근칼질 #오이지 #죽순,2026-01-21,헬로라이프,10768
FUFUmt2K87w,임성근셰프 무면허 음주운전 구금까지...,2026-01-21,AtoZ,915
06IfpzSlXd0,"‘음주운전’ 임성근, 이레즈미 문신 의혹엔 “좋아 보였다, 나의 불찰”",2026-01-21,따꽁리뷰마켓,1262
i7Ra6BjBDRo,"[🔴이슈를 켜라] 임성근 음주운전, 4번이었다…집행유예 기간 무면허 오토바이 운전 / 채널A",2026-01-21,채널A News,3079
KIyZO8MNe3c,&quot;음주운전 3번 했다더니…&quot; 임성근 &#39;전과 5범&#39; 밝혀져 &#39;충격&#39; / KNN,2026-01-21,KNN NEWS,5847
5UzxfEGaN3I,기름도 일정하게 써는 임성근의 미친 칼질 클라쓰 ㄷㄷ #임성근 #흑백요리사 #임짱 #넷플릭스 #netflix #아재맹수 #아기맹수 #칼질 #칼의전쟁,2026-01-21,헬로라이프,5124
ijcKSY9WE3Y,임성근 알고보니 전과 5범 ㅎㄷㄷ,2026-01-21,짤짤이월드,1089
qARhNVVB2eU,‘흑백요리사2’ 결국 임성근 고백으로 못본다는 후덕죽,2026-01-21,하꼴만,892250
U1O0fQFo8qI,"임성근, 고백조차 거짓말이었다…음주운전 4번에 무면허·구금까지｜지금 이 뉴스",2026-01-21,JTBC News,317015
NwSYWmKroiY,임성근 셰프 음주운전 3번? 알고보니 4번이었다 (충격 전력 공개) #shorts,2026-01-21,얕은정보,826
MTX4PTl0hEQ,임성근 추가보도. 전과 5범,2026-01-21,트렌드잼,2102
QNFTvwkwSqA,&quot;음주운전 3번 했다더니…&quot; 임성근 &#39;전과 5범&#39; 밝혀져 &#39;충격&#39; / KNN,2026-01-21,KNN NEWS,401
jD3I-CNUcrs,"임성근, 알고 보니 전과 5범 / YTN star",2026-01-21,YTN star,1106
E00OsKdq2Lc,"임성근, 전과 5범이었다…음주운전으로 구금까지 [투데이 &#39;픽&#39;/iMBC연예뉴스]",2026-01-21,iMBC연예,5432
s8DbZFcICpE,&#39;흑백요리사&#39; 임성근 거짓말 들통…음주운전 3번 아닌 4번이었다 [뉴스쏙]  / 연합뉴스TV(YonhapnewsTV),2026-01-21,연합뉴스TV,727
gPA3oT8i6xU,"임성근, 알고 보니 전과 5범…양심 고백 영상 돌연 삭제 / YTN star",2026-01-21,YTN star,20682
bwq8PWALsdc,"임성근 음주운전, 4번이었다…집행유예 기간 무면허 오토바이 운전 [자막뉴스] / 채널A",2026-01-21,채널A News,1717
