video_id,title,published_at,channel_title,view_count
Bz5oj5jW2Nw,지금 매수하면 어쩌면 내년에는 서울에 집 한 채를 가질 수 있을지도 모릅니다.#주식 #투자#한국주식 #주식투자 #증시,2026-01-06,대박나세요,379
JE3ZEH28eOw,"1월 안에 반드시 매수하세요#주식, #주식투자, #주식초보, #주식차트, #주식강의, #주식정보, #투자, #투자전략, #투자정보, #투자심리, #투자분석,",2026-01-06,전문 투자,893
4ZAOvUc3e0E,1월 13일전에는꼭사라#주식 #주식투자 #증시 #투자 #한국주식,2026-01-06,박명지,845
MTKCl9HGkNw,"1월 13일 이전에 매수하세요#주식, #주식투자, #주식초보, #주식차트, #주식강의, #주식정보, #투자, #투자전략, #투자정보, #투자심리, #투자분석,",2026-01-06,ykh,484
O96WLSflIa0,1월 10일이전에매주하세요  #주식투자 #주식 #증시 #투자#한국주식 #주식초보,2026-01-06,한강갈메기,910
g78qGPmv4wc,2026 한국 주식은 어떻게 될까?,2026-01-06,경제의 시선 [View of Economy],595
Od5san3z6oQ,"미국 주식, 열배(텐배거) 보자~ / 2026년 상·하반기 유망주 탑픽 공개 #인튜이티브머신스 #로켓랩",2026-01-06,동방박사1등주TV,486
_XoiH57DgB8,주식 매매는 이렇게 하세요 / 2500만원 630만원 수익 #주식 #주린이공부 #주식투자 #주식초보,2026-01-06,돌팬티,2416
iwWOpbiggPw,해외주식 투자 과열에…&quot;마케팅 자제하라&quot; 결국 / SBS / 친절한 경제,2026-01-06,SBS 뉴스,2032
x4zE8Oph5rE,"[26년 01월 05일 월]  엔비디아, &#39;CES 2026&#39; 연설 ｜베네수엘라 대통령, 뉴욕 법원 출석 ｜  DRAM 가격 70% 인상  요구｜ -  오선의 미국 증시 라이브",2026-01-05,오선의 미국 증시 라이브,476447
oActOI4LxJk,코스피 LIG넥스원 기업분석 및 주식 투자 전망 #LIG넥스원 #주식투자 #코스피 #기업분석 #투자전망 #주식 #금융 #경제 #트렌드 #투자정보 #이재명 #방산 #투자 #수익 #돈,2026-01-05,주식 부동산 재테크 이슈를 쉽게 전달하기,763
MzHCQ3nqeAk,"(실시간) 트럼프, 베네수엘라 침공 | ISM 제조업 지수 | 전세계 AI 투자 모멘텀: 마이크론, 엔비디아, 삼성전자, 하이닉스 | 미국 주식, 비트코인 실시간",2026-01-05,미국 주식 채널 - 에디 Eddie,81060
gldTAZDuYCU,"NXT 급등주 테마주 세력주 대장주 주식실시간방송 2026년 달라지고 싶다면 딱, 일주일만 시청하세요",2026-01-05,[주식단테 NXT팀장] 주식스텔스,1793
22YfxWPzXbw,"주식시황] 1/6 뉴욕증시, 산업주위주 강세마감 / 베일 벗은 현대차 &#39;아틀라스&#39; / 끝 모를 반도체 대장주 랠리",2026-01-05,성투사의주식으로 부자되기,1192
4R4bo2teizo,"주식미국뉴스, “트럼프發 지정학 리스크와 에너지·금융주 강세장”",2026-01-05,보들옹,3797
zYQN8xM-usg,260106(화) 절대수익의 법칙 : 힘의 균형점 주식 데일리 라이브,2026-01-05,아니내말은ㅣ주식 인사이트,888
KBIHm8RB7Us,꼬니의 미국주식(260106)#금 #비트코인 #미장 #주식 #투자 #재테크 #뉴스 #테슬라 #엔비디아 #드론 #원전 #구글 #애플 #아마존 #다우 #나스닥 #알트코인 #베네수엘라,2026-01-05,꼬니의 미국주식 스토리,778
SB_LE8Deg48,매그니피센트7 #미국주식 #M7 #매그니피센트7 #엔비디아 #애플 #테슬라 #마이크로소프트 #구글 #아마존 #메타 #ETF투자 #주식공부 #재테크 #2025년전망 #경제리포트,2026-01-05,스테디임팩트,1221
7yyc_93iLqk,미국주식시황/베네수엘라 사태에도 오른 이유! 테슬라 엔비디아 구글 애플 아마존 메타 마이크로소프트 팔란티어 아이온큐 리게티 QBTS 삼성전자 MU 브로드컴 오라클 UNH LLY노보,2026-01-05,반교수(ProfHalf)의 미국 투자 스토리(미투리),15962
6r6tU0vAd5s,1월 6일 화요일 아침 주식방송ㅣ26년 새해 첫 텐배거 등극할 새로운 주도주 꿈의 반도체 저평가 &#39;이 주식&#39; 오늘 꼭 사세요 개미 다 털렸고 상한가 기대됩니다. 무섭게 오를겁니다,2026-01-05,주식또바기,10392
kADZXBmczjk,#주식투자 #재테크 #투자 #주식 #증시 #삼성전자 #sk하이닉스,2026-01-05,hathikim bien,1525
h0I2dFljVo8,"미국주식/베네수엘라,ISM제조업PMI/테슬라 엔비디아 구글 애플 아마존 메타 마이크로소프트 팔란티어 아이온큐 리게티 QBTS 삼성전자 MU 브로드컴 오라클 코어위브UNH LLY노보",2026-01-05,반교수(ProfHalf)의 미국 투자 스토리(미투리),12628
bOxk02lS2ic,"25년 1등 미국주식, 엔비디아 아니다?!",2026-01-05,봄비가와,1439
v5EnrTHuxK8,2026.01.05 미국주식 급등주 차트분석,2026-01-05,준석 TV,1922
53qv3IxoR1U,"10년 후 내 자산을 지켜줄단, 10개의 한국 주식#한국주식시장 #한국주식 #주식 #투자 #주식거래 #한국주식정보",2026-01-05,리스크 조율사,2390
dM_iEOG1Hhk,주식 | 1월5일 | 매매일지 | 제주반도체 | 한미반도체 | 노타 | 수익 | 이수스페셜티케미컬 | 손실 | 종가베팅 | 단타 | AI전력주,2026-01-05,빨간맛엄석대,1289
Jl-yXTXBdU8,스타벅스 주식을 모으면 돈벌수 있을까? (제49편) #투자 #미국주식 #나스닥 #starbucks,2026-01-05,JoMalbon.Investor,1188
Ikd_MG-yZjQ,1월 첫째주 가계부정산 #가계부 #20대 #직장인 #주식 #적금 #예금 #소비 #저축 #기록,2026-01-05,알뜰가계부,360
oJJ9urx5PM0,#증시 #한국증시 #주식 #주식투자 #투자,2026-01-05,도명호,355
55Kpx35okSY,"[국내주식] 세계 1위인데 반토막 난 반도체 이기업 26년 무섭게 올라갑니다! [주식전망, 2026년주식전망, 1월주식전망, 대폭락, 반도체관련주, 삼성전자, SK하이닉스]",2026-01-05,이재진의 주식전략실(상한가랠리),10537
ClCVgixWOMY,[주식] 1/6(화) 관심종목 상한가 예상주 TOP3,2026-01-05,주식급등단타,2556
Bg8PHco-SvU,[주식] 속보!! 125조 양산잭팟 터졌다!! 현대로봇 독보적 대장주 &#39;이주식&#39; 당장 사모으세요! 2026년 텐배거 될 로봇주 입니다. #주식#CES2026,2026-01-05,주식또바기,12967
cUhC0I244hg,[주식]증시 대기자금 90조 삼성전자 2일간 15% 급등 삼성전자 00일날 조정 예상(20260105월),2026-01-05,안정모의 주식투자,14665
yJBoE7eI9bQ,주식잘하는 단테대표🔴중요 마감브리핑!!급등예상종목 발굴 #주식단테,2026-01-05,주식단테_경제차트파동연구소,16832
pBSIdS1LEkI,AI시대에 꼭 사야할 한국 미국 주식,2026-01-05,지식 우상향 TV,920
ofY-r7YabEM,개미가 -50~60%하락할 때 사는이유 #주식 #주린이공부,2026-01-05,나는바닥에서잡아,3213
vwFnY-DYWfg,"[상한가] 외국인이 바닥에서 쓸어담은 반도체 저평가 주식 딱 3개![주식전망, 2026년주식전망, 1월주식전망, 대폭락, 삼성전자, SK하이닉스]",2026-01-05,마르스 김동석의 리얼주식,5596
7qSga4xaPas,[주식] 내일 급등할 이 3종목은 반드시 보세요! 정말 미친듯이 올라갑니다 로봇 반도체 우주 AI CES2026 관련주 | 주먹남 급등주,2026-01-05,주식 재벌 - 주먹남 리드남의 급등주,16097
S3LtB_jwDV4,오늘 주식 뭐사지? 뉴욕상단 시작,2026-01-05,전인구경제연구소,28213
ymARjkb2tGw,1월 7일반드시사야 할 주식 추천!#증시 #한국증시 #주식 #주식투자 #투자#etf추천 #뉴스 #주식투자의신 #증시 #증시 #뉴스 #주식투자의신,2026-01-05,이준서,2797
kdc5-3qFQ3E,"[주식] 26년 첫 텐배거 주도주 등극할 로봇 &#39;이 주식&#39; 오늘 꼭 보세요! 현대가 인수할 3만대 대량양산 세계 1위 로봇. 원익홀딩스, 로보티즈보다 더 올라요 #26년로봇주식전망",2026-01-05,주식또바기,12567
gfMbdUbGeBc,[주식]스페이스X 1위 대장주➖1월 6일 마지막 기회! 폭락을 바로 폭등시켜버리네?   사상 최대 규모 2200조! BEST3 최초 공개 | 디에스경제연구소 영철,2026-01-05,디에스경제연구소,4183
tOpvnPp4hO0,"오늘 이 종목, 자리가 너무 좋습니다 (테슬라 엔비디아 인텔 아이온큐 아이렌 네비우스 로켓랩...",2026-01-05,킴스 미국주식,35598
