date,keyword,total_count
2025-07-17,두바이쫀득쿠키,86
2025-07-17,두쫀쿠,33
2025-07-18,두바이쫀득쿠키,69
2025-07-18,두쫀쿠,37
2025-07-19,두바이쫀득쿠키,69
2025-07-19,두쫀쿠,32
2025-07-20,두바이쫀득쿠키,71
2025-07-20,두쫀쿠,29
2025-07-21,두바이쫀득쿠키,92
2025-07-21,두쫀쿠,33
2025-07-22,두바이쫀득쿠키,94
2025-07-22,두쫀쿠,34
2025-07-23,두바이쫀득쿠키,66
2025-07-23,두쫀쿠,34
2025-07-24,두바이쫀득쿠키,61
2025-07-24,두쫀쿠,23
2025-07-25,두바이쫀득쿠키,88
2025-07-25,두쫀쿠,38
2025-07-26,두바이쫀득쿠키,80
2025-07-26,두쫀쿠,21
2025-07-27,두바이쫀득쿠키,76
2025-07-27,두쫀쿠,28
2025-07-28,두바이쫀득쿠키,96
2025-07-28,두쫀쿠,38
2025-07-29,두바이쫀득쿠키,78
2025-07-29,두쫀쿠,36
2025-07-30,두바이쫀득쿠키,92
2025-07-30,두쫀쿠,35
2025-07-31,두바이쫀득쿠키,102
2025-07-31,두쫀쿠,34
2025-08-01,두바이쫀득쿠키,85
2025-08-01,두쫀쿠,19
2025-08-02,두바이쫀득쿠키,67
2025-08-02,두쫀쿠,20
2025-08-03,두바이쫀득쿠키,78
2025-08-03,두쫀쿠,26
2025-08-04,두바이쫀득쿠키,102
2025-08-04,두쫀쿠,41
2025-08-05,두바이쫀득쿠키,86
2025-08-05,두쫀쿠,22
2025-08-06,두바이쫀득쿠키,89
2025-08-06,두쫀쿠,33
2025-08-07,두바이쫀득쿠키,101
2025-08-07,두쫀쿠,34
2025-08-08,두바이쫀득쿠키,102
2025-08-08,두쫀쿠,43
2025-08-09,두바이쫀득쿠키,69
2025-08-09,두쫀쿠,23
2025-08-10,두바이쫀득쿠키,97
2025-08-10,두쫀쿠,41
2025-08-11,두바이쫀득쿠키,80
2025-08-11,두쫀쿠,37
2025-08-12,두바이쫀득쿠키,92
2025-08-12,두쫀쿠,31
2025-08-13,두바이쫀득쿠키,91
2025-08-13,두쫀쿠,30
2025-08-14,두바이쫀득쿠키,80
2025-08-14,두쫀쿠,28
2025-08-15,두바이쫀득쿠키,78
2025-08-15,두쫀쿠,32
2025-08-16,두바이쫀득쿠키,100
2025-08-16,두쫀쿠,34
2025-08-17,두바이쫀득쿠키,90
2025-08-17,두쫀쿠,28
2025-08-18,두바이쫀득쿠키,111
2025-08-18,두쫀쿠,44
2025-08-19,두바이쫀득쿠키,117
2025-08-19,두쫀쿠,36
2025-08-20,두바이쫀득쿠키,134
2025-08-20,두쫀쿠,44
2025-08-21,두바이쫀득쿠키,109
2025-08-21,두쫀쿠,37
2025-08-22,두바이쫀득쿠키,98
2025-08-22,두쫀쿠,35
2025-08-23,두바이쫀득쿠키,99
2025-08-23,두쫀쿠,29
2025-08-24,두바이쫀득쿠키,101
2025-08-24,두쫀쿠,37
2025-08-25,두바이쫀득쿠키,121
2025-08-25,두쫀쿠,38
2025-08-26,두바이쫀득쿠키,134
2025-08-26,두쫀쿠,38
2025-08-27,두바이쫀득쿠키,137
2025-08-27,두쫀쿠,44
2025-08-28,두바이쫀득쿠키,143
2025-08-28,두쫀쿠,53
2025-08-29,두바이쫀득쿠키,145
2025-08-29,두쫀쿠,56
2025-08-30,두바이쫀득쿠키,120
2025-08-30,두쫀쿠,45
2025-08-31,두바이쫀득쿠키,145
2025-08-31,두쫀쿠,36
2025-09-01,두바이쫀득쿠키,192
2025-09-01,두쫀쿠,60
2025-09-02,두바이쫀득쿠키,156
2025-09-02,두쫀쿠,60
2025-09-03,두바이쫀득쿠키,168
2025-09-03,두쫀쿠,57
2025-09-04,두바이쫀득쿠키,139
2025-09-04,두쫀쿠,51
2025-09-05,두바이쫀득쿠키,173
2025-09-05,두쫀쿠,64
2025-09-06,두바이쫀득쿠키,132
2025-09-06,두쫀쿠,54
2025-09-07,두바이쫀득쿠키,185
2025-09-07,두쫀쿠,56
2025-09-08,두바이쫀득쿠키,198
2025-09-08,두쫀쿠,72
2025-09-09,두바이쫀득쿠키,184
2025-09-09,두쫀쿠,75
2025-09-10,두바이쫀득쿠키,169
2025-09-10,두쫀쿠,48
2025-09-11,두바이쫀득쿠키,174
2025-09-11,두쫀쿠,59
2025-09-12,두바이쫀득쿠키,175
2025-09-12,두쫀쿠,61
2025-09-13,두바이쫀득쿠키,141
2025-09-13,두쫀쿠,54
2025-09-14,두바이쫀득쿠키,230
2025-09-14,두쫀쿠,63
2025-09-15,두바이쫀득쿠키,197
2025-09-15,두쫀쿠,65
2025-09-16,두바이쫀득쿠키,150
2025-09-16,두쫀쿠,68
2025-09-17,두바이쫀득쿠키,175
2025-09-17,두쫀쿠,60
2025-09-18,두바이쫀득쿠키,185
2025-09-18,두쫀쿠,66
2025-09-19,두바이쫀득쿠키,166
2025-09-19,두쫀쿠,73
2025-09-20,두바이쫀득쿠키,150
2025-09-20,두쫀쿠,63
2025-09-21,두바이쫀득쿠키,214
2025-09-21,두쫀쿠,70
2025-09-22,두바이쫀득쿠키,204
2025-09-22,두쫀쿠,71
2025-09-23,두바이쫀득쿠키,189
2025-09-23,두쫀쿠,83
2025-09-24,두바이쫀득쿠키,177
2025-09-24,두쫀쿠,54
2025-09-25,두바이쫀득쿠키,196
2025-09-25,두쫀쿠,73
2025-09-26,두바이쫀득쿠키,187
2025-09-26,두쫀쿠,70
2025-09-27,두바이쫀득쿠키,178
2025-09-27,두쫀쿠,69
2025-09-28,두바이쫀득쿠키,244
2025-09-28,두쫀쿠,76
2025-09-29,두바이쫀득쿠키,229
2025-09-29,두쫀쿠,90
2025-09-30,두바이쫀득쿠키,297
2025-09-30,두쫀쿠,103
2025-10-01,두바이쫀득쿠키,245
2025-10-01,두쫀쿠,84
2025-10-02,두바이쫀득쿠키,223
2025-10-02,두쫀쿠,75
2025-10-03,두바이쫀득쿠키,176
2025-10-03,두쫀쿠,64
2025-10-04,두바이쫀득쿠키,201
2025-10-04,두쫀쿠,65
2025-10-05,두바이쫀득쿠키,263
2025-10-05,두쫀쿠,72
2025-10-06,두바이쫀득쿠키,187
2025-10-06,두쫀쿠,53
2025-10-07,두바이쫀득쿠키,166
2025-10-07,두쫀쿠,63
2025-10-08,두바이쫀득쿠키,168
2025-10-08,두쫀쿠,54
2025-10-09,두바이쫀득쿠키,222
2025-10-09,두쫀쿠,79
2025-10-10,두바이쫀득쿠키,231
2025-10-10,두쫀쿠,85
2025-10-11,두바이쫀득쿠키,254
2025-10-11,두쫀쿠,101
2025-10-12,두바이쫀득쿠키,347
2025-10-12,두쫀쿠,133
2025-10-13,두바이쫀득쿠키,291
2025-10-13,두쫀쿠,97
2025-10-14,두바이쫀득쿠키,272
2025-10-14,두쫀쿠,91
2025-10-15,두바이쫀득쿠키,272
2025-10-15,두쫀쿠,101
2025-10-16,두바이쫀득쿠키,331
2025-10-16,두쫀쿠,105
2025-10-17,두바이쫀득쿠키,325
2025-10-17,두쫀쿠,104
2025-10-18,두바이쫀득쿠키,299
2025-10-18,두쫀쿠,105
2025-10-19,두바이쫀득쿠키,421
2025-10-19,두쫀쿠,131
2025-10-20,두바이쫀득쿠키,323
2025-10-20,두쫀쿠,126
2025-10-21,두바이쫀득쿠키,320
2025-10-21,두쫀쿠,126
2025-10-22,두바이쫀득쿠키,321
2025-10-22,두쫀쿠,109
2025-10-23,두바이쫀득쿠키,304
2025-10-23,두쫀쿠,130
2025-10-24,두바이쫀득쿠키,307
2025-10-24,두쫀쿠,122
2025-10-25,두바이쫀득쿠키,265
2025-10-25,두쫀쿠,101
2025-10-26,두바이쫀득쿠키,426
2025-10-26,두쫀쿠,149
2025-10-27,두바이쫀득쿠키,368
2025-10-27,두쫀쿠,141
2025-10-28,두바이쫀득쿠키,326
2025-10-28,두쫀쿠,129
2025-10-29,두바이쫀득쿠키,327
2025-10-29,두쫀쿠,138
2025-10-30,두바이쫀득쿠키,335
2025-10-30,두쫀쿠,109
2025-10-31,두바이쫀득쿠키,513
2025-10-31,두쫀쿠,138
2025-11-01,두바이쫀득쿠키,428
2025-11-01,두쫀쿠,132
2025-11-02,두바이쫀득쿠키,579
2025-11-02,두쫀쿠,172
2025-11-03,두바이쫀득쿠키,493
2025-11-03,두쫀쿠,165
2025-11-04,두바이쫀득쿠키,426
2025-11-04,두쫀쿠,164
2025-11-05,두바이쫀득쿠키,425
2025-11-05,두쫀쿠,161
2025-11-06,두바이쫀득쿠키,418
2025-11-06,두쫀쿠,142
2025-11-07,두바이쫀득쿠키,397
2025-11-07,두쫀쿠,166
2025-11-08,두바이쫀득쿠키,380
2025-11-08,두쫀쿠,152
2025-11-09,두바이쫀득쿠키,581
2025-11-09,두쫀쿠,204
2025-11-10,두바이쫀득쿠키,540
2025-11-10,두쫀쿠,210
2025-11-11,두바이쫀득쿠키,448
2025-11-11,두쫀쿠,196
2025-11-12,두바이쫀득쿠키,418
2025-11-12,두쫀쿠,181
2025-11-13,두바이쫀득쿠키,432
2025-11-13,두쫀쿠,187
2025-11-14,두바이쫀득쿠키,432
2025-11-14,두쫀쿠,172
2025-11-15,두바이쫀득쿠키,423
2025-11-15,두쫀쿠,195
2025-11-16,두바이쫀득쿠키,658
2025-11-16,두쫀쿠,292
2025-11-17,두바이쫀득쿠키,498
2025-11-17,두쫀쿠,225
2025-11-18,두바이쫀득쿠키,456
2025-11-18,두쫀쿠,195
2025-11-19,두바이쫀득쿠키,493
2025-11-19,두쫀쿠,241
2025-11-20,두바이쫀득쿠키,458
2025-11-20,두쫀쿠,231
2025-11-21,두바이쫀득쿠키,455
2025-11-21,두쫀쿠,233
2025-11-22,두바이쫀득쿠키,440
2025-11-22,두쫀쿠,230
2025-11-23,두바이쫀득쿠키,767
2025-11-23,두쫀쿠,390
2025-11-24,두바이쫀득쿠키,649
2025-11-24,두쫀쿠,345
2025-11-25,두바이쫀득쿠키,530
2025-11-25,두쫀쿠,276
2025-11-26,두바이쫀득쿠키,571
2025-11-26,두쫀쿠,313
2025-11-27,두바이쫀득쿠키,594
2025-11-27,두쫀쿠,305
2025-11-28,두바이쫀득쿠키,626
2025-11-28,두쫀쿠,338
2025-11-29,두바이쫀득쿠키,567
2025-11-29,두쫀쿠,344
2025-11-30,두바이쫀득쿠키,1387
2025-11-30,두쫀쿠,965
2025-12-01,두바이쫀득쿠키,1163
2025-12-01,두쫀쿠,744
2025-12-02,두바이쫀득쿠키,848
2025-12-02,두쫀쿠,584
2025-12-03,두바이쫀득쿠키,782
2025-12-03,두쫀쿠,520
2025-12-04,두바이쫀득쿠키,738
2025-12-04,두쫀쿠,492
2025-12-05,두바이쫀득쿠키,785
2025-12-05,두쫀쿠,494
2025-12-06,두바이쫀득쿠키,700
2025-12-06,두쫀쿠,540
2025-12-07,두바이쫀득쿠키,1197
2025-12-07,두쫀쿠,1189
2025-12-08,두바이쫀득쿠키,986
2025-12-08,두쫀쿠,815
2025-12-09,두바이쫀득쿠키,863
2025-12-09,두쫀쿠,705
2025-12-10,두바이쫀득쿠키,953
2025-12-10,두쫀쿠,763
2025-12-11,두바이쫀득쿠키,920
2025-12-11,두쫀쿠,770
2025-12-12,두바이쫀득쿠키,992
2025-12-12,두쫀쿠,863
2025-12-13,두바이쫀득쿠키,984
2025-12-13,두쫀쿠,929
2025-12-14,두바이쫀득쿠키,1505
2025-12-14,두쫀쿠,1997
2025-12-15,두바이쫀득쿠키,1328
2025-12-15,두쫀쿠,1482
2025-12-16,두바이쫀득쿠키,1174
2025-12-16,두쫀쿠,1196
2025-12-17,두바이쫀득쿠키,1199
2025-12-17,두쫀쿠,1236
2025-12-18,두바이쫀득쿠키,1287
2025-12-18,두쫀쿠,1308
2025-12-19,두바이쫀득쿠키,1359
2025-12-19,두쫀쿠,1426
2025-12-20,두바이쫀득쿠키,1275
2025-12-20,두쫀쿠,1463
2025-12-21,두바이쫀득쿠키,1991
2025-12-21,두쫀쿠,3516
2025-12-22,두바이쫀득쿠키,1559
2025-12-22,두쫀쿠,1912
2025-12-23,두바이쫀득쿠키,1522
2025-12-23,두쫀쿠,1784
2025-12-24,두바이쫀득쿠키,1418
2025-12-24,두쫀쿠,1618
2025-12-25,두바이쫀득쿠키,1270
2025-12-25,두쫀쿠,1629
2025-12-26,두바이쫀득쿠키,1710
2025-12-26,두쫀쿠,2230
2025-12-27,두바이쫀득쿠키,1558
2025-12-27,두쫀쿠,2265
2025-12-28,두바이쫀득쿠키,1942
2025-12-28,두쫀쿠,3320
2025-12-29,두바이쫀득쿠키,2067
2025-12-29,두쫀쿠,3678
2025-12-30,두바이쫀득쿠키,2075
2025-12-30,두쫀쿠,3806
2025-12-31,두바이쫀득쿠키,3091
2025-12-31,두쫀쿠,10502
2026-01-01,두바이쫀득쿠키,2290
2026-01-01,두쫀쿠,6600
2026-01-02,두바이쫀득쿠키,2236
2026-01-02,두쫀쿠,4623
2026-01-03,두바이쫀득쿠키,2147
2026-01-03,두쫀쿠,3933
2026-01-04,두바이쫀득쿠키,2360
2026-01-04,두쫀쿠,4877
2026-01-05,두바이쫀득쿠키,2571
2026-01-05,두쫀쿠,5076
2026-01-06,두바이쫀득쿠키,2486
2026-01-06,두쫀쿠,4359
2026-01-07,두바이쫀득쿠키,2457
2026-01-07,두쫀쿠,4327
2026-01-08,두바이쫀득쿠키,2483
2026-01-08,두쫀쿠,4309
2026-01-09,두바이쫀득쿠키,2483
2026-01-09,두쫀쿠,4290
2026-01-10,두바이쫀득쿠키,2444
2026-01-10,두쫀쿠,4364
2026-01-11,두바이쫀득쿠키,2655
2026-01-11,두쫀쿠,5858
2026-01-12,두바이쫀득쿠키,2827
2026-01-12,두쫀쿠,6211
2026-01-13,두바이쫀득쿠키,2719
2026-01-13,두쫀쿠,5484
