date,keyword,total_count
2018-01-01,포켓몬빵,6
2018-01-02,포켓몬빵,5
2018-01-03,포켓몬빵,8
2018-01-04,포켓몬빵,5
2018-01-05,포켓몬빵,3
2018-01-06,포켓몬빵,4
2018-01-07,포켓몬빵,6
2018-01-08,포켓몬빵,7
2018-01-09,포켓몬빵,7
2018-01-10,포켓몬빵,6
2018-01-11,포켓몬빵,7
2018-01-12,포켓몬빵,6
2018-01-13,포켓몬빵,1
2018-01-14,포켓몬빵,5
2018-01-15,포켓몬빵,6
2018-01-16,포켓몬빵,8
2018-01-17,포켓몬빵,9
2018-01-18,포켓몬빵,5
2018-01-19,포켓몬빵,4
2018-01-20,포켓몬빵,5
2018-01-21,포켓몬빵,8
2018-01-22,포켓몬빵,11
2018-01-23,포켓몬빵,6
2018-01-24,포켓몬빵,8
2018-01-25,포켓몬빵,6
2018-01-26,포켓몬빵,3
2018-01-27,포켓몬빵,12
2018-01-28,포켓몬빵,3
2018-01-29,포켓몬빵,5
2018-01-30,포켓몬빵,12
2018-01-31,포켓몬빵,10
2018-02-01,포켓몬빵,8
2018-02-02,포켓몬빵,4
2018-02-03,포켓몬빵,6
2018-02-04,포켓몬빵,9
2018-02-05,포켓몬빵,7
2018-02-06,포켓몬빵,5
2018-02-07,포켓몬빵,6
2018-02-08,포켓몬빵,5
2018-02-09,포켓몬빵,5
2018-02-10,포켓몬빵,3
2018-02-11,포켓몬빵,10
2018-02-12,포켓몬빵,12
2018-02-13,포켓몬빵,7
2018-02-14,포켓몬빵,8
2018-02-15,포켓몬빵,5
2018-02-16,포켓몬빵,5
2018-02-17,포켓몬빵,7
2018-02-18,포켓몬빵,5
2018-02-19,포켓몬빵,5
2018-02-20,포켓몬빵,8
2018-02-21,포켓몬빵,2
2018-02-22,포켓몬빵,5
2018-02-23,포켓몬빵,8
2018-02-24,포켓몬빵,5
2018-02-25,포켓몬빵,3
2018-02-26,포켓몬빵,3
2018-02-27,포켓몬빵,5
2018-02-28,포켓몬빵,5
2018-03-01,포켓몬빵,10
2018-03-02,포켓몬빵,2
2018-03-03,포켓몬빵,4
2018-03-04,포켓몬빵,6
2018-03-05,포켓몬빵,6
2018-03-06,포켓몬빵,4
2018-03-07,포켓몬빵,11
2018-03-08,포켓몬빵,3
2018-03-09,포켓몬빵,3
2018-03-10,포켓몬빵,7
2018-03-11,포켓몬빵,5
2018-03-12,포켓몬빵,8
2018-03-13,포켓몬빵,3
2018-03-14,포켓몬빵,7
2018-03-15,포켓몬빵,3
2018-03-16,포켓몬빵,7
2018-03-17,포켓몬빵,3
2018-03-18,포켓몬빵,9
2018-03-19,포켓몬빵,5
2018-03-20,포켓몬빵,7
2018-03-21,포켓몬빵,12
2018-03-22,포켓몬빵,5
2018-03-23,포켓몬빵,5
2018-03-24,포켓몬빵,6
2018-03-25,포켓몬빵,2
2018-03-26,포켓몬빵,5
2018-03-27,포켓몬빵,3
2018-03-28,포켓몬빵,8
2018-03-29,포켓몬빵,8
2018-03-30,포켓몬빵,4
2018-03-31,포켓몬빵,3
2018-04-01,포켓몬빵,2
2018-04-02,포켓몬빵,6
2018-04-03,포켓몬빵,9
2018-04-04,포켓몬빵,9
2018-04-05,포켓몬빵,10
2018-04-06,포켓몬빵,8
2018-04-07,포켓몬빵,6
2018-04-08,포켓몬빵,2
2018-04-09,포켓몬빵,7
2018-04-10,포켓몬빵,7
2018-04-11,포켓몬빵,5
2018-04-12,포켓몬빵,4
2018-04-13,포켓몬빵,4
2018-04-14,포켓몬빵,2
2018-04-15,포켓몬빵,7
2018-04-16,포켓몬빵,4
2018-04-17,포켓몬빵,5
2018-04-18,포켓몬빵,3
2018-04-19,포켓몬빵,5
2018-04-20,포켓몬빵,4
2018-04-21,포켓몬빵,6
2018-04-22,포켓몬빵,2
2018-04-23,포켓몬빵,7
2018-04-24,포켓몬빵,4
2018-04-25,포켓몬빵,3
2018-04-26,포켓몬빵,9
2018-04-27,포켓몬빵,3
