date,keyword,total_count
2022-01-01,포켓몬빵,17
2022-01-02,포켓몬빵,10
2022-01-03,포켓몬빵,14
2022-01-04,포켓몬빵,11
2022-01-05,포켓몬빵,12
2022-01-06,포켓몬빵,12
2022-01-07,포켓몬빵,14
2022-01-08,포켓몬빵,11
2022-01-09,포켓몬빵,9
2022-01-10,포켓몬빵,9
2022-01-11,포켓몬빵,18
2022-01-12,포켓몬빵,10
2022-01-13,포켓몬빵,14
2022-01-14,포켓몬빵,13
2022-01-15,포켓몬빵,7
2022-01-16,포켓몬빵,16
2022-01-17,포켓몬빵,22
2022-01-18,포켓몬빵,10
2022-01-19,포켓몬빵,16
2022-01-20,포켓몬빵,11
2022-01-21,포켓몬빵,16
2022-01-22,포켓몬빵,11
2022-01-23,포켓몬빵,14
2022-01-24,포켓몬빵,12
2022-01-25,포켓몬빵,10
2022-01-26,포켓몬빵,8
2022-01-27,포켓몬빵,5
2022-01-28,포켓몬빵,14
2022-01-29,포켓몬빵,7
2022-01-30,포켓몬빵,9
2022-01-31,포켓몬빵,28
2022-02-01,포켓몬빵,11
2022-02-02,포켓몬빵,15
2022-02-03,포켓몬빵,22
2022-02-04,포켓몬빵,12
2022-02-05,포켓몬빵,13
2022-02-06,포켓몬빵,19
2022-02-07,포켓몬빵,27
2022-02-08,포켓몬빵,23
2022-02-09,포켓몬빵,13
2022-02-10,포켓몬빵,15
2022-02-11,포켓몬빵,10
2022-02-12,포켓몬빵,11
2022-02-13,포켓몬빵,13
2022-02-14,포켓몬빵,14
2022-02-15,포켓몬빵,8
2022-02-16,포켓몬빵,20
2022-02-17,포켓몬빵,14
2022-02-18,포켓몬빵,15
2022-02-19,포켓몬빵,16
2022-02-20,포켓몬빵,16
2022-02-21,포켓몬빵,25
2022-02-22,포켓몬빵,39
2022-02-23,포켓몬빵,59
2022-02-24,포켓몬빵,182
2022-02-25,포켓몬빵,151
2022-02-26,포켓몬빵,206
2022-02-27,포켓몬빵,266
2022-02-28,포켓몬빵,394
2022-03-01,포켓몬빵,422
2022-03-02,포켓몬빵,455
2022-03-03,포켓몬빵,513
2022-03-04,포켓몬빵,553
2022-03-05,포켓몬빵,494
2022-03-06,포켓몬빵,648
2022-03-07,포켓몬빵,649
2022-03-08,포켓몬빵,586
2022-03-09,포켓몬빵,598
2022-03-10,포켓몬빵,559
2022-03-11,포켓몬빵,605
2022-03-12,포켓몬빵,580
2022-03-13,포켓몬빵,743
2022-03-14,포켓몬빵,795
2022-03-15,포켓몬빵,746
2022-03-16,포켓몬빵,811
2022-03-17,포켓몬빵,639
2022-03-18,포켓몬빵,617
2022-03-19,포켓몬빵,646
2022-03-20,포켓몬빵,703
2022-03-21,포켓몬빵,773
2022-03-22,포켓몬빵,792
2022-03-23,포켓몬빵,686
2022-03-24,포켓몬빵,702
2022-03-25,포켓몬빵,741
2022-03-26,포켓몬빵,614
2022-03-27,포켓몬빵,646
2022-03-28,포켓몬빵,695
2022-03-29,포켓몬빵,613
2022-03-30,포켓몬빵,639
2022-03-31,포켓몬빵,880
2022-04-01,포켓몬빵,776
2022-04-02,포켓몬빵,544
2022-04-03,포켓몬빵,625
2022-04-04,포켓몬빵,732
2022-04-05,포켓몬빵,674
2022-04-06,포켓몬빵,683
2022-04-07,포켓몬빵,826
2022-04-08,포켓몬빵,732
2022-04-09,포켓몬빵,598
2022-04-10,포켓몬빵,600
2022-04-11,포켓몬빵,685
2022-04-12,포켓몬빵,673
2022-04-13,포켓몬빵,641
2022-04-14,포켓몬빵,628
2022-04-15,포켓몬빵,588
2022-04-16,포켓몬빵,482
2022-04-17,포켓몬빵,587
2022-04-18,포켓몬빵,652
2022-04-19,포켓몬빵,597
2022-04-20,포켓몬빵,554
2022-04-21,포켓몬빵,555
2022-04-22,포켓몬빵,554
2022-04-23,포켓몬빵,402
2022-04-24,포켓몬빵,499
2022-04-25,포켓몬빵,645
2022-04-26,포켓몬빵,556
2022-04-27,포켓몬빵,517
2022-04-28,포켓몬빵,496
2022-04-29,포켓몬빵,493
2022-04-30,포켓몬빵,522
2022-05-01,포켓몬빵,703
2022-05-02,포켓몬빵,666
2022-05-03,포켓몬빵,589
2022-05-04,포켓몬빵,537
2022-05-05,포켓몬빵,1326
2022-05-06,포켓몬빵,550
2022-05-07,포켓몬빵,445
2022-05-08,포켓몬빵,490
2022-05-09,포켓몬빵,530
2022-05-10,포켓몬빵,521
2022-05-11,포켓몬빵,534
2022-05-12,포켓몬빵,425
2022-05-13,포켓몬빵,472
2022-05-14,포켓몬빵,359
2022-05-15,포켓몬빵,446
2022-05-16,포켓몬빵,562
2022-05-17,포켓몬빵,464
2022-05-18,포켓몬빵,474
2022-05-19,포켓몬빵,456
2022-05-20,포켓몬빵,472
2022-05-21,포켓몬빵,388
2022-05-22,포켓몬빵,395
2022-05-23,포켓몬빵,445
2022-05-24,포켓몬빵,444
2022-05-25,포켓몬빵,417
2022-05-26,포켓몬빵,402
2022-05-27,포켓몬빵,373
2022-05-28,포켓몬빵,347
2022-05-29,포켓몬빵,335
2022-05-30,포켓몬빵,477
2022-05-31,포켓몬빵,560
2022-06-01,포켓몬빵,490
2022-06-02,포켓몬빵,488
2022-06-03,포켓몬빵,415
2022-06-04,포켓몬빵,315
2022-06-05,포켓몬빵,357
2022-06-06,포켓몬빵,608
2022-06-07,포켓몬빵,568
2022-06-08,포켓몬빵,474
2022-06-09,포켓몬빵,479
2022-06-10,포켓몬빵,499
2022-06-11,포켓몬빵,511
2022-06-12,포켓몬빵,833
2022-06-13,포켓몬빵,578
2022-06-14,포켓몬빵,439
2022-06-15,포켓몬빵,413
2022-06-16,포켓몬빵,478
2022-06-17,포켓몬빵,515
2022-06-18,포켓몬빵,556
2022-06-19,포켓몬빵,869
2022-06-20,포켓몬빵,654
2022-06-21,포켓몬빵,504
2022-06-22,포켓몬빵,423
2022-06-23,포켓몬빵,436
2022-06-24,포켓몬빵,414
2022-06-25,포켓몬빵,459
2022-06-26,포켓몬빵,929
2022-06-27,포켓몬빵,566
2022-06-28,포켓몬빵,460
2022-06-29,포켓몬빵,445
2022-06-30,포켓몬빵,470
2022-07-01,포켓몬빵,496
2022-07-02,포켓몬빵,426
2022-07-03,포켓몬빵,822
2022-07-04,포켓몬빵,559
2022-07-05,포켓몬빵,411
2022-07-06,포켓몬빵,399
2022-07-07,포켓몬빵,430
2022-07-08,포켓몬빵,426
2022-07-09,포켓몬빵,456
2022-07-10,포켓몬빵,886
2022-07-11,포켓몬빵,542
2022-07-12,포켓몬빵,470
2022-07-13,포켓몬빵,426
2022-07-14,포켓몬빵,387
2022-07-15,포켓몬빵,444
2022-07-16,포켓몬빵,430
2022-07-17,포켓몬빵,944
2022-07-18,포켓몬빵,544
2022-07-19,포켓몬빵,418
2022-07-20,포켓몬빵,400
2022-07-21,포켓몬빵,376
2022-07-22,포켓몬빵,423
2022-07-23,포켓몬빵,413
2022-07-24,포켓몬빵,951
2022-07-25,포켓몬빵,492
2022-07-26,포켓몬빵,394
2022-07-27,포켓몬빵,356
2022-07-28,포켓몬빵,344
2022-07-29,포켓몬빵,334
2022-07-30,포켓몬빵,395
2022-07-31,포켓몬빵,857
2022-08-01,포켓몬빵,441
2022-08-02,포켓몬빵,376
2022-08-03,포켓몬빵,338
2022-08-04,포켓몬빵,334
2022-08-05,포켓몬빵,344
2022-08-06,포켓몬빵,403
2022-08-07,포켓몬빵,824
2022-08-08,포켓몬빵,455
2022-08-09,포켓몬빵,322
2022-08-10,포켓몬빵,362
2022-08-11,포켓몬빵,320
2022-08-12,포켓몬빵,322
2022-08-13,포켓몬빵,391
2022-08-14,포켓몬빵,758
2022-08-15,포켓몬빵,421
2022-08-16,포켓몬빵,400
2022-08-17,포켓몬빵,407
2022-08-18,포켓몬빵,353
2022-08-19,포켓몬빵,376
2022-08-20,포켓몬빵,350
2022-08-21,포켓몬빵,812
2022-08-22,포켓몬빵,426
2022-08-23,포켓몬빵,326
2022-08-24,포켓몬빵,320
2022-08-25,포켓몬빵,396
2022-08-26,포켓몬빵,384
2022-08-27,포켓몬빵,363
2022-08-28,포켓몬빵,774
2022-08-29,포켓몬빵,397
2022-08-30,포켓몬빵,323
2022-08-31,포켓몬빵,362
2022-09-01,포켓몬빵,334
2022-09-02,포켓몬빵,324
2022-09-03,포켓몬빵,321
2022-09-04,포켓몬빵,546
2022-09-05,포켓몬빵,482
2022-09-06,포켓몬빵,322
2022-09-07,포켓몬빵,315
2022-09-08,포켓몬빵,243
2022-09-09,포켓몬빵,216
2022-09-10,포켓몬빵,224
2022-09-11,포켓몬빵,558
2022-09-12,포켓몬빵,284
2022-09-13,포켓몬빵,263
2022-09-14,포켓몬빵,282
2022-09-15,포켓몬빵,307
2022-09-16,포켓몬빵,293
2022-09-17,포켓몬빵,301
2022-09-18,포켓몬빵,652
2022-09-19,포켓몬빵,370
2022-09-20,포켓몬빵,291
2022-09-21,포켓몬빵,268
2022-09-22,포켓몬빵,283
2022-09-23,포켓몬빵,275
2022-09-24,포켓몬빵,286
2022-09-25,포켓몬빵,697
2022-09-26,포켓몬빵,384
2022-09-27,포켓몬빵,314
2022-09-28,포켓몬빵,283
2022-09-29,포켓몬빵,382
2022-09-30,포켓몬빵,375
2022-10-01,포켓몬빵,411
2022-10-02,포켓몬빵,747
2022-10-03,포켓몬빵,427
2022-10-04,포켓몬빵,409
2022-10-05,포켓몬빵,327
2022-10-06,포켓몬빵,351
2022-10-07,포켓몬빵,335
2022-10-08,포켓몬빵,363
2022-10-09,포켓몬빵,740
2022-10-10,포켓몬빵,372
2022-10-11,포켓몬빵,347
2022-10-12,포켓몬빵,348
2022-10-13,포켓몬빵,311
2022-10-14,포켓몬빵,311
2022-10-15,포켓몬빵,324
2022-10-16,포켓몬빵,747
2022-10-17,포켓몬빵,408
2022-10-18,포켓몬빵,308
2022-10-19,포켓몬빵,309
2022-10-20,포켓몬빵,297
2022-10-21,포켓몬빵,308
2022-10-22,포켓몬빵,298
2022-10-23,포켓몬빵,634
2022-10-24,포켓몬빵,370
2022-10-25,포켓몬빵,277
2022-10-26,포켓몬빵,246
2022-10-27,포켓몬빵,230
2022-10-28,포켓몬빵,217
2022-10-29,포켓몬빵,214
2022-10-30,포켓몬빵,453
2022-10-31,포켓몬빵,283
2022-11-01,포켓몬빵,187
2022-11-02,포켓몬빵,204
2022-11-03,포켓몬빵,216
2022-11-04,포켓몬빵,185
2022-11-05,포켓몬빵,179
2022-11-06,포켓몬빵,358
2022-11-07,포켓몬빵,258
2022-11-08,포켓몬빵,208
2022-11-09,포켓몬빵,178
2022-11-10,포켓몬빵,182
2022-11-11,포켓몬빵,187
2022-11-12,포켓몬빵,191
2022-11-13,포켓몬빵,405
2022-11-14,포켓몬빵,252
2022-11-15,포켓몬빵,167
2022-11-16,포켓몬빵,183
2022-11-17,포켓몬빵,168
2022-11-18,포켓몬빵,180
2022-11-19,포켓몬빵,187
2022-11-20,포켓몬빵,379
2022-11-21,포켓몬빵,255
2022-11-22,포켓몬빵,175
2022-11-23,포켓몬빵,162
2022-11-24,포켓몬빵,173
2022-11-25,포켓몬빵,164
2022-11-26,포켓몬빵,145
2022-11-27,포켓몬빵,351
2022-11-28,포켓몬빵,202
2022-11-29,포켓몬빵,156
2022-11-30,포켓몬빵,221
2022-12-01,포켓몬빵,188
2022-12-02,포켓몬빵,182
2022-12-03,포켓몬빵,172
2022-12-04,포켓몬빵,347
2022-12-05,포켓몬빵,189
2022-12-06,포켓몬빵,152
2022-12-07,포켓몬빵,149
2022-12-08,포켓몬빵,159
2022-12-09,포켓몬빵,169
2022-12-10,포켓몬빵,151
2022-12-11,포켓몬빵,215
2022-12-12,포켓몬빵,230
2022-12-13,포켓몬빵,177
2022-12-14,포켓몬빵,194
2022-12-15,포켓몬빵,171
2022-12-16,포켓몬빵,196
2022-12-17,포켓몬빵,137
2022-12-18,포켓몬빵,211
2022-12-19,포켓몬빵,197
2022-12-20,포켓몬빵,160
2022-12-21,포켓몬빵,196
2022-12-22,포켓몬빵,142
2022-12-23,포켓몬빵,180
2022-12-24,포켓몬빵,130
2022-12-25,포켓몬빵,172
2022-12-26,포켓몬빵,197
2022-12-27,포켓몬빵,190
2022-12-28,포켓몬빵,192
2022-12-29,포켓몬빵,171
2022-12-30,포켓몬빵,186
2022-12-31,포켓몬빵,321
2023-01-01,포켓몬빵,255
2023-01-02,포켓몬빵,222
2023-01-03,포켓몬빵,188
2023-01-04,포켓몬빵,195
2023-01-05,포켓몬빵,207
2023-01-06,포켓몬빵,204
2023-01-07,포켓몬빵,169
2023-01-08,포켓몬빵,237
2023-01-09,포켓몬빵,238
2023-01-10,포켓몬빵,207
2023-01-11,포켓몬빵,199
2023-01-12,포켓몬빵,200
2023-01-13,포켓몬빵,175
2023-01-14,포켓몬빵,151
2023-01-15,포켓몬빵,223
2023-01-16,포켓몬빵,244
2023-01-17,포켓몬빵,227
2023-01-18,포켓몬빵,212
2023-01-19,포켓몬빵,175
2023-01-20,포켓몬빵,177
2023-01-21,포켓몬빵,139
2023-01-22,포켓몬빵,125
2023-01-23,포켓몬빵,146
2023-01-24,포켓몬빵,185
2023-01-25,포켓몬빵,181
2023-01-26,포켓몬빵,215
2023-01-27,포켓몬빵,207
2023-01-28,포켓몬빵,191
2023-01-29,포켓몬빵,230
2023-01-30,포켓몬빵,290
2023-01-31,포켓몬빵,313
2023-02-01,포켓몬빵,278
2023-02-02,포켓몬빵,277
2023-02-03,포켓몬빵,211
2023-02-04,포켓몬빵,204
2023-02-05,포켓몬빵,248
2023-02-06,포켓몬빵,282
2023-02-07,포켓몬빵,245
2023-02-08,포켓몬빵,245
2023-02-09,포켓몬빵,275
2023-02-10,포켓몬빵,210
2023-02-11,포켓몬빵,182
2023-02-12,포켓몬빵,238
2023-02-13,포켓몬빵,271
2023-02-14,포켓몬빵,241
2023-02-15,포켓몬빵,199
2023-02-16,포켓몬빵,218
2023-02-17,포켓몬빵,206
2023-02-18,포켓몬빵,172
2023-02-19,포켓몬빵,221
2023-02-20,포켓몬빵,287
2023-02-21,포켓몬빵,241
2023-02-22,포켓몬빵,227
2023-02-23,포켓몬빵,233
2023-02-24,포켓몬빵,202
2023-02-25,포켓몬빵,165
2023-02-26,포켓몬빵,244
2023-02-27,포켓몬빵,284
2023-02-28,포켓몬빵,276
2023-03-01,포켓몬빵,253
2023-03-02,포켓몬빵,240
2023-03-03,포켓몬빵,195
2023-03-04,포켓몬빵,173
2023-03-05,포켓몬빵,235
2023-03-06,포켓몬빵,252
2023-03-07,포켓몬빵,216
2023-03-08,포켓몬빵,196
2023-03-09,포켓몬빵,191
2023-03-10,포켓몬빵,174
2023-03-11,포켓몬빵,145
2023-03-12,포켓몬빵,178
2023-03-13,포켓몬빵,204
2023-03-14,포켓몬빵,187
2023-03-15,포켓몬빵,167
2023-03-16,포켓몬빵,168
2023-03-17,포켓몬빵,152
2023-03-18,포켓몬빵,138
2023-03-19,포켓몬빵,160
2023-03-20,포켓몬빵,198
2023-03-21,포켓몬빵,172
2023-03-22,포켓몬빵,162
2023-03-23,포켓몬빵,150
2023-03-24,포켓몬빵,163
2023-03-25,포켓몬빵,134
2023-03-26,포켓몬빵,173
2023-03-27,포켓몬빵,184
2023-03-28,포켓몬빵,163
2023-03-29,포켓몬빵,164
2023-03-30,포켓몬빵,159
2023-03-31,포켓몬빵,198
2023-04-01,포켓몬빵,159
2023-04-02,포켓몬빵,164
2023-04-03,포켓몬빵,199
2023-04-04,포켓몬빵,150
2023-04-05,포켓몬빵,171
2023-04-06,포켓몬빵,168
2023-04-07,포켓몬빵,149
2023-04-08,포켓몬빵,149
2023-04-09,포켓몬빵,176
2023-04-10,포켓몬빵,204
2023-04-11,포켓몬빵,181
2023-04-12,포켓몬빵,172
2023-04-13,포켓몬빵,160
2023-04-14,포켓몬빵,142
2023-04-15,포켓몬빵,96
2023-04-16,포켓몬빵,154
2023-04-17,포켓몬빵,188
2023-04-18,포켓몬빵,183
2023-04-19,포켓몬빵,159
2023-04-20,포켓몬빵,131
2023-04-21,포켓몬빵,124
2023-04-22,포켓몬빵,116
2023-04-23,포켓몬빵,108
2023-04-24,포켓몬빵,174
2023-04-25,포켓몬빵,145
2023-04-26,포켓몬빵,120
2023-04-27,포켓몬빵,157
2023-04-28,포켓몬빵,153
2023-04-29,포켓몬빵,121
2023-04-30,포켓몬빵,182
2023-05-01,포켓몬빵,214
2023-05-02,포켓몬빵,154
2023-05-03,포켓몬빵,149
2023-05-04,포켓몬빵,157
2023-05-05,포켓몬빵,138
2023-05-06,포켓몬빵,145
2023-05-07,포켓몬빵,173
2023-05-08,포켓몬빵,191
2023-05-09,포켓몬빵,152
2023-05-10,포켓몬빵,163
2023-05-11,포켓몬빵,131
2023-05-12,포켓몬빵,113
2023-05-13,포켓몬빵,129
2023-05-14,포켓몬빵,153
2023-05-15,포켓몬빵,151
2023-05-16,포켓몬빵,130
2023-05-17,포켓몬빵,129
2023-05-18,포켓몬빵,129
2023-05-19,포켓몬빵,120
2023-05-20,포켓몬빵,88
2023-05-21,포켓몬빵,137
2023-05-22,포켓몬빵,145
2023-05-23,포켓몬빵,135
2023-05-24,포켓몬빵,132
2023-05-25,포켓몬빵,144
2023-05-26,포켓몬빵,120
2023-05-27,포켓몬빵,106
2023-05-28,포켓몬빵,124
2023-05-29,포켓몬빵,121
2023-05-30,포켓몬빵,155
2023-05-31,포켓몬빵,154
2023-06-01,포켓몬빵,169
2023-06-02,포켓몬빵,147
2023-06-03,포켓몬빵,110
2023-06-04,포켓몬빵,121
2023-06-05,포켓몬빵,135
2023-06-06,포켓몬빵,112
2023-06-07,포켓몬빵,137
2023-06-08,포켓몬빵,123
2023-06-09,포켓몬빵,129
2023-06-10,포켓몬빵,107
2023-06-11,포켓몬빵,136
2023-06-12,포켓몬빵,129
2023-06-13,포켓몬빵,140
2023-06-14,포켓몬빵,104
2023-06-15,포켓몬빵,122
2023-06-16,포켓몬빵,87
