date,keyword,total_count
2018-01-01,탕후루,5
2018-01-02,탕후루,10
2018-01-03,탕후루,7
2018-01-04,탕후루,11
2018-01-05,탕후루,11
2018-01-06,탕후루,7
2018-01-07,탕후루,8
2018-01-08,탕후루,9
2018-01-09,탕후루,7
2018-01-10,탕후루,9
2018-01-11,탕후루,5
2018-01-12,탕후루,7
2018-01-13,탕후루,5
2018-01-14,탕후루,5
2018-01-15,탕후루,9
2018-01-16,탕후루,3
2018-01-17,탕후루,13
2018-01-18,탕후루,14
2018-01-19,탕후루,6
2018-01-20,탕후루,7
2018-01-21,탕후루,9
2018-01-22,탕후루,14
2018-01-23,탕후루,11
2018-01-24,탕후루,9
2018-01-25,탕후루,4
2018-01-26,탕후루,5
2018-01-27,탕후루,8
2018-01-28,탕후루,5
2018-01-29,탕후루,10
2018-01-30,탕후루,10
2018-01-31,탕후루,11
2018-02-01,탕후루,8
2018-02-02,탕후루,10
2018-02-03,탕후루,14
2018-02-04,탕후루,6
2018-02-05,탕후루,9
2018-02-06,탕후루,11
2018-02-07,탕후루,8
2018-02-08,탕후루,7
2018-02-09,탕후루,7
2018-02-10,탕후루,3
2018-02-11,탕후루,10
2018-02-12,탕후루,13
2018-02-13,탕후루,8
2018-02-14,탕후루,12
2018-02-15,탕후루,7
2018-02-16,탕후루,5
2018-02-17,탕후루,7
2018-02-18,탕후루,6
2018-02-19,탕후루,10
2018-02-20,탕후루,8
2018-02-21,탕후루,15
2018-02-22,탕후루,13
2018-02-23,탕후루,9
2018-02-24,탕후루,12
2018-02-25,탕후루,15
2018-02-26,탕후루,8
2018-02-27,탕후루,10
2018-02-28,탕후루,11
2018-03-01,탕후루,9
2018-03-02,탕후루,8
2018-03-03,탕후루,14
2018-03-04,탕후루,9
2018-03-05,탕후루,13
2018-03-06,탕후루,18
2018-03-07,탕후루,10
2018-03-08,탕후루,15
2018-03-09,탕후루,9
2018-03-10,탕후루,15
2018-03-11,탕후루,14
2018-03-12,탕후루,27
2018-03-13,탕후루,17
