video_id,title,published_at,view_count,like_count,comment_count
FDy_kU4SbRc,두쫀쿠 1알 = 국밥 한그릇 값? 두케팅에 돈을 쏟아붓는 소름돋는 심리 분석,2026-01-13T23:45:00Z,310,24,2
L_dLPPB5L7E,이제 안팝니다!! 두쫀쿠 손절 폭주하는 이유 #두쫀쿠 #두바이쫀득쿠키 #이슈 #뉴스 #사건두반장 #shorts,2026-01-13T23:22:01Z,5924,6,1
oxTsqRH3tT4,송리단길 두쫀쿠•말쫀쿠 맛집 추천! 로피 후기,2026-01-13T23:12:10Z,2018,7,1
MJM06u03T4g,두쫀쿠 처음 먹어본 프랑스 남편 반응ㅋㅋ🇫🇷 #국제커플 #두바이쫀득쿠키 #두쫀쿠,2026-01-13T23:09:25Z,1076,15,1
GywQl1vr5bo,수제 두쫀쿠 먹방,2026-01-13T23:08:17Z,449,9,2
VNGXGs9751w,두쫀쿠에 중독된 당신에게 필요한 운동🔥두쫀쿠 하나에 칼로리 어마무시한 거 알죠? 먹고 가만히 있다면 바로 서킷으로 태워버지라 #dance #music #life #shorts,2026-01-13T23:06:11Z,572,3,0
0SZp0l1xxiE,두쫀쿠 열풍에 노 젓는 사장님,2026-01-13T23:00:05Z,833,36,1
qiXqJygqK2A,두바이쫀득쿠키 두쫀쿠 최강자 나왔습니다,2026-01-13T22:25:11Z,5768,7,1
CqfVn-snMFo,결국 두쫀쿠를 팔고야만 런던 한국 카페 사장 근무로그 #런던 #카페브이로그 #barista #london #카페사장,2026-01-13T22:07:51Z,884,59,5
U-Y_Rc3rCy8,한국의 소가 매일 두쫀쿠를 먹으면 우유가 초콜릿색이 될 수 있나?,2026-01-13T20:50:00Z,2973,66,3
CPMmUhM3YWU,두쫀쿠...닉아 몮대..#두바이쫀득쿠키 #레시피,2026-01-13T19:07:48Z,1497,8,1
v9Cyzifsg2E,프랑스에도 부는 두쫀쿠 열풍(?),2026-01-13T18:34:25Z,1202,12,3
8gPyCxGzueU,[🔴LIVE] 두쫀쿠 살 돈으로 투자가 가능하다고?｜🏫주식스쿨🏫,2026-01-13T18:28:08Z,64,8,3
-nJjA3xJn14,두쫀쿠 권력자 되는 법 #두쫀쿠,2026-01-13T17:45:45Z,3276,6,1
AnBPhdeAJAQ,동탄 두쫀쿠 맛집 솔라트 용인 기흥 두바이 쫀득쿠키 #두바이쫀득쿠키 #두쫀쿠 #koreanfood,2026-01-13T17:41:00Z,1401,3,1
mFvphaUYwlE,다정한 남자를 만나야 하는 이유. 두쫀쿠 계속 사줌..💚 with 왕가탕후루 두쫀쿠,2026-01-13T17:19:48Z,1188,6,0
6NwF6oqCsmU,이틀연속 두쫀쿠를 선물받은 사람이 있다? 그게 바로 나야 | 금치의 두쫀쿠 이야기,2026-01-13T17:18:32Z,1752,7,1
bq--_Yg1Zno,#아이브 #이서 #두쫀쿠 만들기 #쇼츠,2026-01-13T16:35:56Z,16392,72,1
VMVTN-0ce3k,행궁동 KIFF 두쫀쿠! ♥ 두쫀쿠 막차탑승🧆#두쫀쿠 #두바이쫀득쿠키 #두바이초콜릿 #두바이왕자 #두바이생활 #두바이라이프,2026-01-13T16:26:52Z,1831,2,0
qvWiIpABwds,두쫀쿠 선물용 답례품 회사간식 대량주문 납품 가능,2026-01-13T16:13:21Z,1416,2,0
2qWDL1fG8aE,"Ep29. 댓글요청! 두쫀쿠용 수제마시멜로우 만들기, 마시멜로우만들기 #두쫀쿠 #두바이쫀득쿠키 #마시멜로우 #두바이초콜릿",2026-01-13T15:55:06Z,17934,99,5
55zSlaviZPQ,미국 스벅 신상 음료 두쫀쿠 라떼 후기!!,2026-01-13T15:49:01Z,1988,3,1
RvgRGQTTJDk,두쫀쿠후기!!,2026-01-13T15:48:56Z,1560,3,0
f2LXV9MeGek,밤비가 두쫀쿠 자랑하는 영상 #채밤비 #플레이브,2026-01-13T15:38:29Z,1709,0,0
Y0EaVpRg_Io,한국 두쫀쿠 맛집의 두쫀쿠는 어떤 맛일까 How is Korea's Dubai chewy cookie?,2026-01-13T15:37:01Z,10491,16,1
